DEPT,ROP,GR,T-TEMP
64.9224,21.1253,45.9987,21.8537
65.0748,21.0223,46.3429,21.8394
65.2272,20.8028,47.9945,21.8885
65.3796,20.5834,48.2916,21.8752
65.532,20.3633,50.4381,21.862
65.6844,20.1408,50.5348,21.8487
65.8368,19.9183,49.0973,21.8836
65.9892,19.6958,48.6313,21.8701
66.1416,19.7225,47.5315,21.8567
66.294,19.7682,47.4591,21.8544
66.4464,19.8139,47.9101,21.8928
66.5988,19.8972,46.7014,21.8785
66.7512,20.0008,43.7526,21.8642
66.9036,20.1044,42.8644,21.9026
67.056,19.9438,42.3821,21.8982
67.2084,19.3281,42.6582,21.8937
67.3608,18.7124,46.4113,21.8951
67.5132,18.2097,47.7635,21.8964
67.6656,18.8985,45.1032,21.8876
67.818,19.5874,43.0128,21.8787
67.9704,20.2762,38.8834,21.9029
68.1228,20.5524,36.2687,21.8985
68.2752,20.7292,36.1334,21.8941
68.4276,20.906,36.7512,21.8897
68.58,20.5676,36.7895,21.9083
68.7324,19.7629,37.024,21.9125
68.8848,18.9583,37.5177,21.9167
69.0372,18.5129,36.8165,21.9334
69.1896,19.1804,37.4437,21.9202
69.342,19.848,38.2105,21.9069
69.4944,20.5155,37.9287,21.8936
69.6468,20.1877,38.2516,21.9298
69.7992,19.8219,38.2804,21.9207
69.9516,19.4562,38.1164,21.9117
70.104,19.313,38.3383,21.9498
70.2564,19.2733,39.049,21.9404
70.4088,19.2337,39.3223,21.931
70.5612,19.2896,38.7729,21.9215
70.7136,19.4877,39.2587,21.9534
70.866,19.6858,39.0191,21.9367
71.0184,19.8744,38.4171,21.9199
71.1708,19.9932,39.5473,21.9809
71.3232,20.1121,38.2276,21.9715
71.4756,20.231,38.9195,21.9622
71.628,19.2874,40.3079,21.9528
71.7804,18.1414,40.4519,21.9461
71.9328,16.9953,41.9097,21.9367
72.0852,17.6538,41.4566,21.9273
72.2376,19.7356,39.9212,21.9468
72.39,21.8174,38.8534,21.9488
72.5424,23.08,38.8589,21.9447
72.6948,22.2174,38.9182,21.9406
72.8472,21.3548,39.5772,21.9365
72.9996,20.4923,40.2474,21.9284
73.152,20.49,40.9841,21.9184
73.3044,20.49,39.7733,21.9084
73.4568,20.49,37.8583,21.9444
73.6092,20.5424,36.5643,21.931
73.7616,20.6156,35.4616,21.9176
73.914,20.6887,34.5016,21.9097
74.0664,20.73,36.3462,21.9159
74.2188,20.73,35.752,21.9116
74.3712,20.73,33.9542,21.9072
74.5236,20.7026,34.2176,21.9627
74.676,20.5258,33.8706,21.9496
74.8284,20.3491,33.8222,21.9364
74.9808,20.1723,34.5198,21.9233
75.1332,20.2672,34.6927,21.9658
75.2856,20.4013,35.3234,21.9658
75.438,20.5354,35.3963,21.9658
75.5904,20.505,36.3786,21.9596
75.7428,20.3618,35.7595,21.9505
75.8952,20.2185,35.0413,21.9505
76.0476,20.1362,35.4103,21.9505
76.2,20.188,35.652,21.9783
76.3524,20.2398,37.0831,21.9732
76.5048,20.2891,37.6619,21.9652
76.6572,20.2617,37.7934,21.9573
76.8096,20.2343,36.0256,21.996
76.962,20.2068,35.7543,21.9888
77.1144,20.2984,35.9294,21.9815
77.2668,20.4294,35.9049,21.9742
77.4192,20.5605,36.3797,21.967
77.5716,20.5928,36.788,22.0061
77.724,20.5135,36.6657,21.9987
77.8764,20.4343,37.2737,21.9912
78.0288,20.3654,37.4616,21.9837
78.1812,20.341,36.5459,22.0089
78.3336,20.3166,36.5194,22.002
78.486,20.2922,36.7063,21.9951
78.6384,20.5225,37.6748,21.9883
78.7908,20.7785,39.6209,21.9814
78.9432,21.0346,39.3687,22.0189
79.0956,20.9139,38.7064,22.0094
79.248,20.5695,38.5176,21.9999
79.4004,20.2251,38.2464,21.9904
79.5528,19.9926,37.8045,21.9835
79.7052,19.9713,37.7828,22.0157
79.8576,19.9499,38.0369,22.0024
80.01,19.9478,37.5566,21.9892
80.1624,20.2191,36.9372,21.9759
80.3148,20.4903,37.5445,22.0246
80.4672,20.7616,37.8614,22.0166
80.6196,19.5714,38.6113,22.0063
80.772,17.9803,38.3907,21.996
80.9244,16.3893,38.7863,21.9857
81.0768,16.2205,39.3098,22.0383
81.2292,17.4519,39.1507,22.0239
81.3816,18.6833,39.8855,22.0094
81.534,19.298,41.8234,21.995
81.6864,17.7648,42.8953,21.9958
81.8388,16.2317,42.6069,21.9802
81.9912,14.6985,42.8418,21.9299
82.1436,16.0,41.4708,21.8797
82.296,17.4753,40.9076,21.9009
82.4484,18.9505,39.7096,21.8884
82.6008,19.3895,38.5457,21.8758
82.7532,19.2981,37.6443,21.8632
82.9056,19.2066,37.3388,21.9023
83.058,19.2068,36.7911,21.8979
83.2104,19.3562,36.337,21.8936
83.3628,19.5055,37.145,21.8948
83.5152,19.6658,37.8227,21.9427
83.6676,19.9249,37.861,21.9505
83.82,20.184,38.7176,21.9232
83.9724,20.4431,38.5741,21.9305
84.1248,20.4176,38.8983,21.9377
84.2772,20.3292,38.2585,21.945
84.4296,20.2408,39.7834,21.9637
84.582,19.9392,39.7393,21.9507
84.7344,19.4546,40.5919,21.9377
84.8868,18.97,39.3414,21.9247
85.0392,18.7644,39.3288,21.9583
85.1916,19.3649,40.5903,21.9411
85.344,19.9654,40.0511,21.9238
85.4964,20.5658,41.2876,21.943
85.6488,20.2348,41.0182,21.9313
85.8012,19.8812,41.1415,21.9346
85.9536,19.5276,39.3872,21.9409
86.106,19.6468,37.7042,21.9309
86.2584,19.973,38.2208,21.9209
86.4108,20.2991,37.8762,21.9521
86.5632,20.4445,38.6304,21.9358
86.7156,20.3348,40.2966,21.9274
86.868,20.225,40.2594,21.9505
87.0204,20.1557,39.4308,21.9505
87.1728,20.3477,39.3266,21.9505
87.3252,20.5398,38.7233,21.9636
87.4776,20.7318,38.6736,21.9588
87.63,20.2998,39.0799,21.9539
87.7824,19.7603,38.8313,21.9656
87.9348,19.2208,39.1799,21.9609
88.0872,18.9586,39.3814,21.9562
88.2396,18.9037,39.7761,21.9515
88.392,18.8489,39.6005,21.9612
88.5444,19.0311,40.4345,21.9518
88.6968,19.7901,40.6512,21.9424
88.8492,20.549,41.7054,21.9482
89.0016,21.2937,42.4832,21.937
89.154,20.6963,43.3216,21.9229
89.3064,20.0989,42.646,21.9089
89.4588,19.5015,42.4816,21.9421
89.6112,19.3934,42.6207,21.9286
89.7636,19.4665,43.0605,21.9151
89.916,19.5397,44.5693,21.934
90.0684,18.6087,45.0671,21.9199
90.2208,16.4446,43.524,21.9058
90.3732,14.2806,43.1124,21.8917
90.5256,12.8092,42.864,21.9175
90.678,14.7691,42.7897,21.894
90.8304,16.7289,44.1506,21.8706
90.9828,18.6888,45.0623,21.8613
91.1352,19.4778,45.1636,21.8658
