wellName,datasetName,DEPT,BS,CALI,DENS,DRHO,DTC,GR,NEUT,PEF,RESD,RESM,RESS,SP,TVD
,,M,INCH,INCH,G/CC,G/CC,US/F,API,V/V,B/E,OHMM,OHMM,OHMM,mV,m
Cheal-G1,Clean,783.8,12.25,12.772,2.057,0.04,143.415,97.283,0.469,4.461,47.447,37.217,21.118,206.69,654.016
Cheal-G1,Clean,783.9,12.25,12.771,2.056,0.036,142.678,97.452,0.449,4.459,44.569,35.651,21.175,206.07,654.078
Cheal-G1,Clean,784,12.25,12.768,2.058,0.034,140.727,98.282,0.43,4.449,43.216,35.482,22.396,205.486,654.14
Cheal-G1,Clean,784.1,12.25,12.764,2.063,0.032,137.937,99.212,0.417,4.344,48.57,40.617,26.762,204.93,654.2
Cheal-G1,Clean,784.2,12.25,12.708,2.073,0.029,134.708,100.648,0.413,4.181,45.064,37.902,25.309,204.225,654.26
Cheal-G1,Clean,784.3,12.25,12.293,2.091,0.023,131.729,100.458,0.416,3.91,31.994,27.413,19.115,203.569,654.32
Cheal-G1,Clean,784.4,12.25,11.424,2.119,0.017,129.386,99.707,0.418,3.626,28.921,25.132,18.11,202.639,654.38
Cheal-G1,Clean,784.5,12.25,10.324,2.145,0.012,128.179,97.712,0.422,3.374,32.724,28.525,20.704,201.53,654.44
Cheal-G1,Clean,784.6,12.25,9.502,2.168,0.008,128.422,97.335,0.421,3.266,37.627,31.663,21.169,200.15,654.502
Cheal-G1,Clean,784.7,12.25,9.115,2.181,0.007,129.684,97.129,0.421,3.259,43.826,35.673,22.068,198.455,654.564
Cheal-G1,Clean,784.8,12.25,9.019,2.184,0.008,131.768,98.302,0.418,3.328,54.577,42.613,23.921,196.711,654.626
Cheal-G1,Clean,784.9,12.25,9.032,2.181,0.01,133.395,99.041,0.416,3.436,61.045,46.687,24.972,195.164,654.688
Cheal-G1,Clean,785,8.5,9.101,2.176,0.013,134.386,100.545,0.411,3.539,65.967,49.743,25.744,193.897,654.75
Cheal-G1,Clean,785.1,8.5,9.194,2.173,0.015,133.783,100.465,0.402,3.592,57.473,44.962,25.354,192.909,654.812
Cheal-G1,Clean,785.2,8.5,9.277,2.173,0.015,132.334,102.231,0.391,3.57,49.347,40.596,25.743,192.137,654.874
Cheal-G1,Clean,785.3,8.5,9.332,2.176,0.015,129.969,102.182,0.376,3.526,40.375,35.364,25.957,191.363,654.936
Cheal-G1,Clean,785.4,8.5,9.361,2.179,0.013,127.642,103.239,0.362,3.45,37.48,34.315,27.932,190.177,654.998
Cheal-G1,Clean,785.5,8.5,9.375,2.184,0.013,125.629,102.167,0.349,3.407,34.486,33.037,29.889,188.907,655.06
Cheal-G1,Clean,785.6,8.5,9.378,2.19,0.017,124.563,102.395,0.344,3.4,33.375,32.696,31.167,187.713,655.122
Cheal-G1,Clean,785.7,8.5,9.347,2.194,0.023,124.233,100.402,0.344,3.477,31.863,31.405,30.361,186.431,655.184
Cheal-G1,Clean,785.8,8.5,9.266,2.194,0.03,124.338,98.826,0.352,3.572,30.575,29.745,27.895,185.237,655.246
Cheal-G1,Clean,785.9,8.5,9.163,2.192,0.035,124.658,97.509,0.363,3.665,35.416,33.992,30.887,184.282,655.308
Cheal-G1,Clean,786,8.5,9.097,2.188,0.036,124.899,98.491,0.379,3.698,32.325,30.546,26.768,183.182,655.37
Cheal-G1,Clean,786.1,8.5,9.102,2.184,0.031,125.017,98.451,0.395,3.671,30.753,28.78,24.655,181.87,655.43
Cheal-G1,Clean,786.2,8.5,9.146,2.182,0.024,124.852,98.607,0.406,3.583,36.077,33.526,28.253,180.359,655.49
Cheal-G1,Clean,786.3,8.5,9.195,2.184,0.017,124.552,100.99,0.41,3.464,38.126,35.286,29.456,178.448,655.55
Cheal-G1,Clean,786.4,8.5,9.235,2.186,0.011,124.204,103.624,0.409,3.359,36.919,34.08,28.275,176.202,655.61
Cheal-G1,Clean,786.5,8.5,9.262,2.19,0.008,123.999,104.539,0.402,3.278,35.68,32.946,27.354,173.677,655.67
Cheal-G1,Clean,786.6,8.5,9.274,2.192,0.008,123.898,104.872,0.392,3.242,36.667,33.922,28.289,170.897,655.732
Cheal-G1,Clean,786.7,8.5,9.271,2.192,0.01,123.914,103.237,0.384,3.236,39.403,36.524,30.596,168.153,655.794
Cheal-G1,Clean,786.8,8.5,9.244,2.193,0.014,123.951,102.261,0.382,3.291,40.614,37.676,31.621,165.391,655.856
Cheal-G1,Clean,786.9,8.5,9.202,2.195,0.02,124.033,99.847,0.384,3.413,41.75,38.685,32.381,162.844,655.918
Cheal-G1,Clean,787,8.5,9.171,2.195,0.025,124.104,100.298,0.391,3.566,41.65,38.548,32.177,160.508,655.98
Cheal-G1,Clean,787.1,8.5,9.168,2.19,0.026,124.282,100.33,0.401,3.677,39.207,36.263,30.226,158.645,656.042
Cheal-G1,Clean,787.2,8.5,9.176,2.183,0.024,124.563,103.441,0.412,3.73,37.193,34.407,28.693,156.901,656.104
Cheal-G1,Clean,787.3,8.5,9.166,2.174,0.019,125.017,104.644,0.418,3.697,39.638,36.749,30.799,155.609,656.166
Cheal-G1,Clean,787.4,8.5,9.145,2.163,0.011,125.544,106.162,0.418,3.569,39.812,37.059,31.353,154.576,656.228
Cheal-G1,Clean,787.5,8.5,9.131,2.153,0.004,126.079,103.367,0.416,3.38,40.074,37.451,31.978,153.752,656.29
Cheal-G1,Clean,787.6,8.5,9.124,2.145,0.001,126.507,101.342,0.411,3.242,39.917,37.192,31.536,152.917,656.352
Cheal-G1,Clean,787.7,8.5,9.108,2.144,0.003,126.746,97.218,0.408,3.177,37.306,34.491,28.721,152.303,656.414
Cheal-G1,Clean,787.8,8.5,9.062,2.146,0.007,126.738,93.997,0.404,3.167,37.383,34.177,27.725,151.72,656.476
Cheal-G1,Clean,787.9,8.5,8.997,2.154,0.013,126.474,91.729,0.401,3.19,38.722,35.101,27.915,151.148,656.538
Cheal-G1,Clean,788,8.5,8.949,2.163,0.017,125.999,93.295,0.396,3.25,42.418,38.218,29.965,150.674,656.6
Cheal-G1,Clean,788.1,8.5,8.949,2.179,0.02,125.39,95.893,0.39,3.304,46.173,41.689,32.848,150.352,656.66
Cheal-G1,Clean,788.2,8.5,8.998,2.19,0.02,124.735,99.719,0.389,3.334,47.613,43.252,34.568,149.887,656.72
Cheal-G1,Clean,788.3,8.5,9.056,2.199,0.018,124.088,103.301,0.392,3.351,45.255,41.431,33.716,149.513,656.78
