wellName,datasetName,DEPT,BS,CALI,DENS,DRHO,DTC,GR,NEUT,PEF,RESD,RESM,RESS,SP,TVD
,,M,INCH,INCH,G/CC,G/CC,US/F,API,V/V,B/E,OHMM,OHMM,OHMM,mV,m
Cheal-A10,Clean,286.817,8.5,8.639,2.219,-0.005,135.855,111.203,0.389,2.942,26.823,21.821,11.376,-110.475,286.827
Cheal-A10,Clean,286.969,8.5,8.616,2.201,-0.006,134.911,107.684,0.394,3.094,28.193,22.901,11.781,-110.575,286.979
Cheal-A10,Clean,287.122,8.5,8.593,2.204,-0.005,134.437,103.109,0.363,2.902,30.986,25.095,12.427,-110.517,287.132
Cheal-A10,Clean,287.274,8.5,8.547,2.206,-0.006,134.303,99.825,0.362,3.005,27.456,22.3,11.908,-110.417,287.284
Cheal-A10,Clean,287.426,8.5,8.455,2.188,-0.007,134.381,102.288,0.367,2.906,25.726,20.954,11.429,-110.429,287.436
Cheal-A10,Clean,287.579,8.5,8.467,2.202,-0.009,135.315,104.349,0.384,2.895,32.465,26.399,12.644,-110.783,287.5874
Cheal-A10,Clean,287.731,8.5,8.501,2.202,-0.009,135.348,103.88,0.385,2.911,30.434,24.932,12.496,-111.208,287.7364
Cheal-A10,Clean,287.884,8.5,8.54,2.205,-0.01,135.355,101.534,0.372,2.88,27.949,23.072,12.074,-111.537,287.8863
Cheal-A10,Clean,288.036,8.5,8.509,2.202,-0.009,135.608,106.746,0.379,2.926,27.514,22.741,11.823,-111.941,288.036
Cheal-A10,Clean,288.188,8.5,8.386,2.214,-0.006,136.243,111.32,0.369,2.925,25.118,20.903,11.274,-112.412,288.188
Cheal-A10,Clean,288.341,8.5,8.516,2.213,0.002,135.982,111.354,0.413,2.871,27.033,22.611,11.673,-112.804,288.341
Cheal-A10,Clean,288.493,8.5,8.593,2.202,0.006,135.983,111.94,0.409,2.886,28.109,23.459,11.782,-112.787,288.493
Cheal-A10,Clean,288.646,8.5,8.532,2.236,0.007,136.816,111.354,0.461,2.902,24.474,20.634,11.083,-112.8,288.6489
Cheal-A10,Clean,288.798,8.5,8.516,2.225,0.004,136.723,116.481,0.463,3.047,23.273,19.534,10.673,-112.629,288.804
Cheal-A10,Clean,288.95,8.5,8.513,2.216,0.004,136.455,120.235,0.521,2.974,23.732,19.955,10.669,-112.588,288.959
Cheal-A10,Clean,289.103,8.5,8.49,2.177,0.005,136.182,121.878,0.458,2.836,25.183,21.054,10.849,-112.579,289.1089
Cheal-A10,Clean,289.255,8.5,8.34,2.182,0.01,135.762,119.297,0.461,2.889,24.671,20.659,10.518,-112.813,289.2548
Cheal-A10,Clean,289.408,8.5,8.179,2.204,0.011,135.301,113.784,0.437,2.874,25.428,21.214,10.453,-112.813,289.4017
Cheal-A10,Clean,289.56,8.5,8.34,2.222,0.012,135.205,113.314,0.442,2.846,29.058,24.083,11.2,-112.821,289.55
Cheal-A10,Clean,289.712,8.5,8.47,2.205,0.007,135.178,116.247,0.413,2.915,31.525,26.057,11.376,-113.025,289.702
Cheal-A10,Clean,289.865,8.5,8.536,2.184,0.004,134.66,114.848,0.413,2.784,30.922,25.528,11.477,-113.092,289.855
Cheal-A10,Clean,290.017,8.5,8.432,2.199,0.003,134.026,115.434,0.4,2.857,29.082,24.039,11.261,-113.175,290.007
Cheal-A10,Clean,290.17,8.5,8.179,2.202,0.002,133.714,115.434,0.377,2.785,26.872,22.302,11.011,-113.4,290.16
Cheal-A10,Clean,290.322,8.5,8.24,2.202,0.001,134.137,114.722,0.394,2.805,26.265,21.873,11.062,-113.558,290.312
Cheal-A10,Clean,290.474,8.5,8.54,2.211,0.001,134.969,111.672,0.395,2.808,27.264,22.733,11.122,-113.283,290.464
Cheal-A10,Clean,290.627,8.5,8.524,2.206,0,135.201,109.586,0.41,2.911,28.749,24.019,11.589,-113.25,290.617
Cheal-A10,Clean,290.779,8.5,8.662,2.195,-0.002,135.397,110.642,0.412,2.885,30.688,25.744,12.492,-113.275,290.769
Cheal-A10,Clean,290.932,8.5,8.651,2.212,-0.004,135.198,113.574,0.406,2.778,30.879,25.854,12.764,-113.05,290.922
Cheal-A10,Clean,291.084,8.5,8.662,2.217,-0.002,134.916,109.796,0.433,2.793,27.237,22.924,11.997,-113.063,291.074
Cheal-A10,Clean,291.236,8.5,8.616,2.198,0,134.813,108.857,0.456,2.822,28.21,23.56,12.098,-113.404,291.226
Cheal-A10,Clean,291.389,8.5,8.125,2.203,0.001,135.115,106.746,0.477,2.832,27.979,23.38,12.379,-113.887,291.379
Cheal-A10,Clean,291.541,8.5,7.937,2.221,0.002,135.435,111.438,0.446,2.841,25.318,21.23,11.529,-114.162,291.531
Cheal-A10,Clean,291.694,8.5,8.26,2.207,0.002,135.644,113.038,0.407,2.832,25.913,21.754,11.493,-114.329,291.684
Cheal-A10,Clean,291.846,8.5,8.662,2.211,0.007,135.234,112.803,0.391,2.803,27.138,22.801,12.046,-114.48,291.836
Cheal-A10,Clean,291.998,8.5,8.605,2.201,0.017,134.622,111.161,0.386,2.687,30.235,25.337,12.875,-114.2,291.988
Cheal-A10,Clean,292.151,8.5,8.386,2.181,0.028,134.168,108.036,0.418,2.819,28.682,24.19,12.942,-114.121,292.141
Cheal-A10,Clean,292.303,8.5,8.44,2.194,0.036,134.03,106.863,0.412,2.937,28.321,23.844,12.278,-114.079,292.293
