wellName,datasetName,DEPT,BS,CALI,DENS,DRHO,DTC,GR,NEUT,PEF,RESD,RESM,RESS,SP,TVD
,,M,INCH,INCH,G/CC,G/CC,US/F,API,V/V,B/E,OHMM,OHMM,OHMM,mV,m
Cheal-G3,Clean,1851.7,8.5,8.51,2.459,0.062,90.362,117.392,0.301,3.255,5.008,5.087,5.278,-164.116,1779.09
Cheal-G3,Clean,1851.8,8.5,8.502,2.455,0.058,90.463,116.195,0.305,3.274,4.881,4.965,5.166,-164.126,1779.19
Cheal-G3,Clean,1851.9,8.5,8.488,2.452,0.053,90.533,115.527,0.31,3.293,4.864,4.947,5.147,-164.013,1779.29
Cheal-G3,Clean,1852,8.5,8.463,2.449,0.049,90.576,114.458,0.316,3.298,4.789,4.863,5.04,-163.87,1779.39
Cheal-G3,Clean,1852.1,8.5,8.429,2.445,0.044,90.609,114.443,0.319,3.305,4.724,4.784,4.926,-163.678,1779.49
Cheal-G3,Clean,1852.2,8.5,8.417,2.447,0.043,90.649,114.37,0.321,3.31,4.716,4.761,4.868,-163.514,1779.59
Cheal-G3,Clean,1852.3,8.5,8.452,2.452,0.043,90.706,116.28,0.321,3.312,4.668,4.703,4.786,-163.252,1779.69
Cheal-G3,Clean,1852.4,8.5,8.521,2.46,0.044,90.82,116.626,0.318,3.314,5.101,5.136,5.218,-163.063,1779.79
Cheal-G3,Clean,1852.5,8.5,8.574,2.464,0.044,90.977,116.658,0.314,3.318,5.224,5.264,5.357,-162.899,1779.89
Cheal-G3,Clean,1852.6,8.5,8.596,2.467,0.043,91.161,115.53,0.31,3.321,5.155,5.201,5.312,-162.737,1779.99
Cheal-G3,Clean,1852.7,8.5,8.596,2.47,0.042,91.332,116.562,0.309,3.312,5.253,5.311,5.449,-162.497,1780.09
Cheal-G3,Clean,1852.8,8.5,8.587,2.468,0.04,91.495,117.444,0.308,3.304,5.021,5.086,5.241,-162.259,1780.19
Cheal-G3,Clean,1852.9,8.5,8.571,2.462,0.038,91.57,118.923,0.313,3.291,4.984,5.056,5.229,-162.037,1780.29
Cheal-G3,Clean,1853,8.5,8.552,2.456,0.038,91.535,119.073,0.318,3.271,4.816,4.893,5.077,-161.845,1780.39
Cheal-G3,Clean,1853.1,8.5,8.537,2.453,0.042,91.348,118.763,0.321,3.243,4.569,4.647,4.836,-161.708,1780.49
Cheal-G3,Clean,1853.2,8.5,8.529,2.451,0.047,91.057,116.305,0.322,3.226,4.348,4.428,4.621,-161.614,1780.59
Cheal-G3,Clean,1853.3,8.5,8.521,2.45,0.051,90.639,115.123,0.32,3.22,4.49,4.576,4.782,-161.586,1780.69
Cheal-G3,Clean,1853.4,8.5,8.51,2.451,0.054,90.183,114.248,0.316,3.226,4.935,5.032,5.268,-161.605,1780.79
Cheal-G3,Clean,1853.5,8.5,8.497,2.45,0.054,89.753,116.285,0.311,3.237,5.063,5.162,5.401,-161.559,1780.89
Cheal-G3,Clean,1853.6,8.5,8.489,2.45,0.052,89.445,118.563,0.307,3.263,5.073,5.168,5.395,-161.489,1780.99
Cheal-G3,Clean,1853.7,8.5,8.487,2.449,0.049,89.254,120.643,0.303,3.266,5.137,5.225,5.437,-161.337,1781.09
Cheal-G3,Clean,1853.8,8.5,8.487,2.45,0.048,89.192,119.569,0.302,3.27,5.018,5.098,5.29,-161.172,1781.19
Cheal-G3,Clean,1853.9,8.5,8.492,2.454,0.051,89.23,117.302,0.304,3.259,4.897,4.969,5.141,-160.923,1781.29
Cheal-G3,Clean,1854,8.5,8.502,2.46,0.055,89.362,114.774,0.308,3.259,4.864,4.929,5.082,-160.658,1781.39
Cheal-G3,Clean,1854.1,8.5,8.518,2.466,0.059,89.518,113.75,0.313,3.25,5.129,5.192,5.343,-160.332,1781.49
Cheal-G3,Clean,1854.2,8.5,8.537,2.466,0.057,89.673,112.719,0.319,3.267,5.201,5.263,5.412,-160.043,1781.59
Cheal-G3,Clean,1854.3,8.5,8.558,2.464,0.053,89.762,112.067,0.321,3.296,5.518,5.586,5.748,-159.735,1781.69
Cheal-G3,Clean,1854.4,8.5,8.576,2.462,0.047,89.825,111.948,0.318,3.339,5.763,5.835,6.008,-159.425,1781.79
Cheal-G3,Clean,1854.5,8.5,8.586,2.458,0.04,89.831,112.834,0.312,3.352,5.385,5.455,5.622,-159.093,1781.89
Cheal-G3,Clean,1854.6,8.5,8.59,2.453,0.035,89.829,113.518,0.305,3.364,4.724,4.786,4.933,-158.807,1781.99
Cheal-G3,Clean,1854.7,8.5,8.591,2.452,0.033,89.808,114.293,0.3,3.352,4.451,4.506,4.636,-158.508,1782.09
Cheal-G3,Clean,1854.8,8.5,8.594,2.457,0.034,89.838,115.865,0.298,3.331,4.684,4.732,4.846,-158.201,1782.19
Cheal-G3,Clean,1854.9,8.5,8.6,2.458,0.035,89.913,119.078,0.3,3.291,4.831,4.873,4.971,-157.973,1782.29
Cheal-G3,Clean,1855,8.5,8.611,2.461,0.035,90.04,120.78,0.306,3.283,4.85,4.889,4.983,-157.76,1782.39
Cheal-G3,Clean,1855.1,8.5,8.623,2.466,0.036,90.212,120.488,0.313,3.277,4.845,4.894,5.011,-157.513,1782.49
Cheal-G3,Clean,1855.2,8.5,8.632,2.474,0.036,90.462,119.034,0.317,3.284,4.896,4.965,5.13,-157.291,1782.59
Cheal-G3,Clean,1855.3,8.5,8.636,2.475,0.034,90.779,118.389,0.318,3.275,4.967,5.063,5.292,-157.108,1782.69
Cheal-G3,Clean,1855.4,8.5,8.636,2.474,0.031,91.127,117.263,0.318,3.276,4.876,4.99,5.267,-156.871,1782.79
Cheal-G3,Clean,1855.5,8.5,8.636,2.469,0.027,91.44,116.74,0.317,3.262,4.612,4.731,5.022,-156.737,1782.89
Cheal-G3,Clean,1855.6,8.5,8.635,2.461,0.025,91.677,117.168,0.317,3.251,4.581,4.702,4.994,-156.673,1782.99
Cheal-G3,Clean,1855.7,8.5,8.636,2.451,0.025,91.779,117.879,0.316,3.234,4.857,4.979,5.276,-156.615,1783.09
Cheal-G3,Clean,1855.8,8.5,8.637,2.446,0.028,91.751,117.472,0.317,3.231,4.937,5.053,5.337,-156.438,1783.19
Cheal-G3,Clean,1855.9,8.5,8.639,2.447,0.034,91.606,115.935,0.319,3.22,4.511,4.612,4.858,-156.283,1783.29
Cheal-G3,Clean,1856,8.5,8.642,2.448,0.037,91.411,116.019,0.322,3.213,4.416,4.514,4.751,-155.872,1783.39
Cheal-G3,Clean,1856.1,8.5,8.645,2.451,0.037,91.184,116.382,0.326,3.217,4.735,4.841,5.095,-155.461,1783.49
Cheal-G3,Clean,1856.2,8.5,8.646,2.452,0.034,90.977,119.609,0.328,3.229,4.869,4.979,5.245,-154.934,1783.59
Cheal-G3,Clean,1856.3,8.5,8.647,2.452,0.029,90.801,122.747,0.331,3.237,4.86,4.969,5.234,-154.371,1783.69
Cheal-G3,Clean,1856.4,8.5,8.646,2.45,0.024,90.683,126.399,0.33,3.243,4.576,4.677,4.923,-153.774,1783.79
Cheal-G3,Clean,1856.5,8.5,8.646,2.451,0.022,90.616,126.403,0.328,3.252,4.508,4.604,4.835,-153.126,1783.89
Cheal-G3,Clean,1856.6,8.5,8.645,2.451,0.021,90.621,124.919,0.322,3.25,4.731,4.826,5.055,-152.325,1783.99
Cheal-G3,Clean,1856.7,8.5,8.645,2.452,0.022,90.688,120.951,0.319,3.248,4.89,4.981,5.198,-151.655,1784.09
Cheal-G3,Clean,1856.8,8.5,8.651,2.452,0.024,90.803,117.203,0.317,3.239,5.004,5.091,5.3,-151.171,1784.19
Cheal-G3,Clean,1856.9,8.5,8.665,2.455,0.026,90.942,113.793,0.318,3.241,5.016,5.099,5.297,-150.748,1784.29
Cheal-G3,Clean,1857,8.5,8.686,2.455,0.026,91.107,113.279,0.317,3.228,4.906,4.985,5.174,-150.495,1784.39
