DEPTH,AZIMUTH,DEVIATION,TVD
0.0,0.0,0.0,0.0
31.25,93.5,1.71,31.25
41.25,91.27,1.94,41.24
51.25,89.81,2.12,51.23
61.25,90.43,2.0,61.23
71.25,93.32,1.81,71.22
81.25,94.79,1.73,81.22
91.25,94.93,1.68,91.21
101.25,94.64,1.66,101.21
111.25,93.63,1.66,111.2
121.25,92.22,1.67,121.2
131.25,88.67,1.54,131.2
141.25,84.28,1.38,141.19
151.25,80.08,1.3,151.19
161.25,78.8,1.28,161.19
171.25,80.99,1.3,171.19
181.25,81.23,1.22,181.18
191.25,80.28,1.11,191.18
201.25,77.41,1.05,201.18
211.25,77.28,1.03,211.18
221.25,75.58,0.94,221.18
231.25,74.25,0.93,231.17
241.25,73.33,0.88,241.17
251.25,69.83,0.86,251.17
261.25,67.72,0.91,261.17
271.25,66.25,0.88,271.17
281.25,64.51,0.88,281.17
291.25,65.68,0.87,291.17
301.25,69.89,0.86,301.17
311.25,71.64,0.85,311.17
321.25,71.94,0.84,321.16
331.25,74.62,0.81,331.16
341.25,77.71,0.78,341.16
351.25,78.09,0.73,351.16
361.25,77.65,0.69,361.16
371.25,78.51,0.68,371.16
381.25,77.5,0.62,381.16
391.25,78.03,0.66,391.16
401.25,82.14,0.64,401.16
411.25,85.39,0.67,411.16
421.25,86.52,0.69,421.16
431.25,84.81,0.68,431.16
434.6,85.02,0.67,434.51
441.25,86.55,0.7,441.15
451.25,70.34,1.3,451.15
461.25,54.9,3.48,461.14
471.25,52.39,5.67,471.11
481.25,52.49,6.49,481.06
491.25,53.08,6.57,490.99
500.38,52.33,6.55,500.06
501.25,52.22,6.55,500.93
511.25,52.68,6.53,510.86
521.25,52.38,7.28,520.79
528.93,49.25,7.48,528.4
531.25,48.26,7.54,530.7
538.03,45.47,7.71,537.42
541.25,45.46,7.85,540.61
547.33,50.08,8.37,546.63
551.25,51.7,8.63,550.51
561.25,51.37,8.65,560.4
571.25,52.08,7.58,570.3
578.0,52.68,6.86,576.99
585.1,44.67,10.72,584.01
613.69,47.92,13.29,611.97
642.42,41.07,15.75,639.78
671.17,44.41,18.86,667.23
699.56,46.25,21.75,693.85
728.0,46.17,23.41,720.11
756.43,45.55,23.07,746.24
784.4,46.02,22.91,771.98
812.43,46.51,22.14,797.87
840.42,47.45,21.65,823.85
869.08,45.45,23.12,850.35
897.12,44.74,24.44,876.0
925.72,45.77,24.23,902.06
954.09,46.27,23.66,927.99
982.61,44.63,23.42,954.14
1011.45,44.4,23.1,980.64
1040.07,45.5,22.65,1007.0
1068.91,45.42,22.23,1033.66
1097.27,45.37,22.03,1059.9301
1125.12,43.85,22.43,1085.71
1152.83,43.82,23.06,1111.27
1180.94,43.81,22.84,1137.15
1209.26,43.63,22.94,1163.24
1237.64,42.94,22.49,1189.42
1265.82,43.34,22.39,1215.47
1294.07,42.33,22.2,1241.6
1322.73,42.3,21.74,1268.1801
1350.91,42.09,21.76,1294.36
1379.64,42.14,21.5,1321.0601
1408.23,41.74,20.78,1347.73
1436.59,41.74,20.27,1374.29
1465.56,41.63,20.03,1401.49
1512.94,41.98,19.1,1446.13
1541.07,40.84,18.63,1472.75
1579.47,40.09,17.87,1509.22
1607.75,39.76,17.27,1536.1801
1635.99,38.38,16.18,1563.22
1664.14,37.48,15.37,1590.3101
1692.64,36.42,14.71,1617.84
1721.1,35.93,14.36,1645.39
1749.73,34.97,13.73,1673.16
1777.11,33.52,13.38,1699.78
1806.22,33.27,12.93,1728.12
1844.25,32.15,12.3,1765.23
1856.0,31.8,12.1,1776.72
