DEPT,CGXT,SMTU,GRGC,NPRL,CLDC,DCOR,DEN,PDPE,DT35,SPDL,MRRS,HP01,HP02,HDP3,HDP4,HDP5,HDP6,HDPT,HVOL,AVOL,BIT
1704.6,49.500857,3011.587207,109.368306,0.292706,8.472877,0.053536,2.466908,3.152048,85.410658,-133.40306,2.957649,5.800738,5.813859,5.822624,5.833599,5.853405,5.866647,5.933387,0.1281,0.040418,8.5
1704.7,49.508915,3002.929688,111.41393,0.297348,8.448976,0.052066,2.46403,3.182517,85.534714,-133.376481,3.121097,5.585284,5.594076,5.599946,5.607291,5.620538,5.629387,5.674018,0.127071,0.03939,8.5
1704.8,49.533973,2998.491569,113.390433,0.29767,8.404743,0.052055,2.461738,3.197862,85.446679,-133.401132,3.351717,5.672386,5.676618,5.679442,5.682974,5.68934,5.693589,5.715044,0.125421,0.037739,8.5
1704.9,49.536076,2961.646705,113.800551,0.294085,8.339116,0.054062,2.461638,3.203276,85.185695,-133.408324,3.598875,5.529287,5.525418,5.522841,5.519622,5.513834,5.50998,5.490515,0.123452,0.03577,8.5
1705.0,49.502763,2938.225695,112.470768,0.285423,8.272839,0.057162,2.464331,3.195549,84.850247,-133.441327,3.760589,5.594263,5.582379,5.574472,5.564604,5.546889,5.535112,5.475564,0.122003,0.034322,8.5
1705.1,49.559585,2890.625,110.298011,0.275545,8.241422,0.059647,2.469282,3.18907,84.472493,-133.424793,3.804099,5.602133,5.580019,5.565328,5.547019,5.514222,5.492469,5.38236,0.122141,0.034459,8.5
1705.2,49.555652,2891.181188,109.290302,0.265701,8.282069,0.060957,2.476767,3.18765,84.112742,-133.421741,3.774402,5.705003,5.668635,5.64452,5.614522,5.560934,5.525496,5.346057,0.124295,0.036613,8.5
1705.3,49.546105,2896.064357,108.783423,0.260084,8.386316,0.060482,2.484061,3.190813,83.78101,-133.416957,3.75276,5.78759,5.736766,5.703133,5.661372,5.586978,5.537931,5.289318,0.127451,0.03977,8.5
1705.4,49.537628,2900.947525,108.267182,0.259815,8.492452,0.057171,2.485959,3.197045,83.503246,-133.396273,3.77433,5.871598,5.805146,5.761264,5.706881,5.610286,5.546803,5.224942,0.129899,0.042218,8.5
1705.5,49.533052,2905.273438,108.889896,0.264519,8.547793,0.05262,2.483879,3.201035,83.247223,-133.362247,3.911036,5.937339,5.857033,5.8041,5.738608,5.622581,5.546536,5.161041,0.130598,0.042916,8.5
1705.6,49.566739,2905.273438,109.451626,0.271019,8.538232,0.047998,2.478239,3.201651,82.982537,-133.37207,4.191543,5.868753,5.781779,5.724514,5.653729,5.528516,5.446585,5.031282,0.129705,0.042024,8.5
1705.7,49.545636,2905.273438,110.887607,0.276215,8.489288,0.04585,2.47403,3.196861,82.649417,-133.386951,4.603619,6.030174,5.940467,5.881405,5.808403,5.679275,5.59479,5.166444,0.128177,0.040496,8.5
1705.8,49.538833,2905.273438,111.289436,0.27913,8.437633,0.045021,2.46854,3.197372,82.25153,-133.407135,5.062435,6.656485,6.56402,6.503093,6.427731,6.29428,6.206859,5.763814,0.126916,0.039235,8.5
1705.9,49.564599,2905.273438,111.278972,0.278521,8.405869,0.047474,2.469466,3.193746,81.789525,-133.487597,5.451706,7.371231,7.285025,7.22812,7.157618,7.032455,6.95024,6.53368,0.126591,0.038909,8.5
1706.0,49.523273,2908.068617,109.856349,0.275999,8.416034,0.050203,2.472144,3.200242,81.376585,-133.55109,5.650912,7.485927,7.422076,7.379817,7.327339,7.233836,7.172178,6.859959,0.127361,0.03968,8.5
1706.1,49.562097,2929.6875,108.682405,0.272122,8.456948,0.052269,2.476435,3.213029,81.116751,-133.592518,5.606212,6.76899,6.737541,6.716658,6.690651,6.644101,6.613255,6.456991,0.128636,0.040954,8.5
1706.2,49.558236,2926.888761,106.784586,0.268722,8.500234,0.051046,2.475616,3.249259,81.172221,-133.670625,5.396419,6.60954,6.598034,6.590377,6.580819,6.563656,6.552243,6.494512,0.129707,0.042026,8.5
1706.3,49.544156,2901.352712,104.897042,0.267208,8.527444,0.048986,2.474737,3.276076,81.550444,-133.737161,5.16619,6.624934,6.626867,6.628157,6.629769,6.632675,6.634613,6.644402,0.130134,0.042452,8.5
