DEPT,GR,ROP
73.3044,70.8883,21.397
73.4568,69.835,21.127
73.6092,69.2071,21.4231
73.7616,69.2242,22.0501
73.914,69.6859,21.4492
74.0664,70.5617,20.5609
74.2188,70.7811,19.1937
74.3712,71.0983,17.6436
74.5236,71.9851,17.6205
74.676,70.023,17.6527
74.8284,69.9853,19.1222
74.9808,70.6798,20.3911
75.1332,69.352,21.2141
75.2856,70.3497,21.1574
75.438,72.0777,19.7104
75.5904,71.5522,18.2633
75.7428,71.6306,18.6397
75.8952,71.5553,19.2669
76.0476,70.7504,21.1467
76.2,70.2536,21.9593
76.3524,70.4932,22.4394
76.5048,70.1393,23.1969
76.6572,70.4913,22.9332
76.8096,71.5273,22.476
76.962,71.0072,22.2565
77.1144,70.8856,22.1559
77.2668,68.9562,23.8418
77.4192,68.5324,23.7937
77.5716,68.2077,23.5819
77.724,67.478,25.5666
77.8764,68.2773,24.2621
78.0288,68.3404,23.4173
78.1812,68.7034,22.5204
78.3336,68.8411,20.7177
78.486,69.1692,17.6784
78.6384,70.1215,17.595
78.7908,72.3995,17.3255
78.9432,75.1911,16.8538
79.0956,75.7134,16.4998
79.248,73.8347,16.2052
79.4004,71.8414,16.2859
79.5528,70.3206,16.0886
79.7052,68.7962,15.7084
79.8576,69.404,15.6796
80.01,69.1805,16.0386
80.1624,67.651,18.5286
80.3148,68.4,18.2423
80.4672,69.4513,18.2057
80.6196,69.1643,17.5931
80.772,71.3016,14.6487
80.9244,70.7128,12.1375
81.0768,69.145,11.7805
81.2292,67.4792,13.6246
81.3816,67.1882,15.7074
81.534,66.6032,17.5931
81.6864,68.3495,20.7386
81.8388,70.4422,21.1135
81.9912,71.8542,21.0586
82.1436,73.7767,21.1684
82.296,74.1956,20.1429
82.4484,72.1851,19.1676
82.6008,71.2834,19.5159
82.7532,69.7368,20.7843
82.9056,69.3895,21.973
83.058,70.6625,21.845
83.2104,71.4554,20.8666
83.3628,72.7639,20.6219
83.5152,70.9686,17.7942
83.6676,69.676,18.5806
83.82,66.5651,20.19
83.9724,65.8776,26.6365
84.1248,66.3355,29.7363
84.2772,67.2439,32.4246
84.4296,68.2023,38.1762
84.582,67.5488,37.6302
84.7344,66.5406,38.6029
84.8868,65.8571,40.1803
85.0392,64.4743,46.4668
85.1916,63.4573,49.9001
85.344,63.9418,50.1765
85.4964,63.9692,49.8566
85.6488,64.6408,40.4687
85.8012,65.9825,30.6977
85.9536,68.2829,21.8237
86.106,69.981,14.1776
86.2584,72.4757,13.4373
86.4108,74.1953,12.5752
86.5632,74.1549,12.7406
86.7156,72.9146,12.1659
86.868,72.4019,12.1981
87.0204,71.6213,12.6736
87.1728,73.0804,12.2722
87.3252,73.205,13.4946
87.4776,71.7285,14.7676
87.63,71.2409,14.8133
87.7824,69.6274,15.5544
87.9348,69.2324,14.6015
88.0872,69.2185,13.9855
88.2396,67.8008,14.3898
88.392,67.5912,13.9759
88.5444,67.3159,14.383
88.6968,68.1647,15.3834
88.8492,68.7412,22.2576
89.0016,68.9147,28.5004
89.154,67.1084,31.168
89.3064,65.7969,33.319
89.4588,66.0991,38.2219
89.6112,65.3469,36.097
89.7636,65.3993,35.7574
89.916,64.4878,38.4871
90.0684,64.4285,31.9583
90.2208,63.6045,25.2649
90.3732,65.166,23.4909
90.5256,66.0996,18.6102
90.678,66.1067,15.1268
90.8304,65.0843,16.076
90.9828,64.207,15.4142
91.1352,64.8359,14.134
91.2876,64.7513,14.5956
91.44,68.573,16.4331
91.5924,69.2352,17.4607
91.7448,68.8748,19.1937
91.8972,70.1143,20.857
92.0496,71.3044,20.021
92.202,70.7208,20.1603
92.3544,71.0744,23.3216
92.5068,70.8124,27.0314
92.6592,69.3046,30.0097
92.8116,67.988,29.7833
92.964,68.0085,25.6032
93.1164,67.924,25.1369
93.2688,69.4056,22.7868
93.4212,73.3319,23.0063
93.5736,72.3071,23.2606
93.726,71.0787,23.1822
93.8784,67.2307,29.8617
94.0308,63.6342,34.1637
94.1832,61.6901,38.8506
94.3356,60.7824,43.3997
94.488,59.809,38.7515
94.6404,60.9798,32.7355
94.7928,62.2771,31.9655
94.9452,62.6417,30.745
95.0976,65.4896,25.3914
95.25,66.2708,24.5769
95.4024,66.7206,25.4107
95.5548,68.5968,23.3701
95.7072,68.6756,23.0718
95.8596,68.5072,24.592
96.012,68.9483,22.6771
96.1644,67.1189,20.3708
96.3168,67.4017,21.7723
96.4692,68.2596,21.2049
96.6216,69.1604,18.544
96.774,69.1696,18.7726
96.9264,69.6535,19.367
97.0788,69.2375,16.5027
97.2312,67.5969,17.4833
97.3836,66.8985,19.5956
97.536,65.8279,17.4559
97.6884,65.7515,19.2847
97.8408,66.15,21.0747
97.9932,66.1617,19.812
98.1456,65.7597,21.545
98.298,65.9996,18.2532
98.4504,66.5702,14.5341
98.6028,66.2748,15.0165
98.7552,66.9433,15.4703
98.9076,67.5316,18.6741
99.06,67.4172,23.4953
99.2124,67.4071,22.7468
99.3648,67.5327,21.9891
99.5172,67.9593,21.5624
99.6696,67.8436,21.4405
99.822,67.6209,21.5624
99.9744,66.4374,20.3432
100.1268,66.5878,19.2459
100.2792,66.9603,18.7234
100.4316,67.5643,17.4025
100.584,69.3861,18.1821
100.7364,71.0238,17.5661
100.8888,71.1305,17.903
101.0412,69.302,18.6363
101.1936,67.646,19.8817
101.346,64.8097,21.9021
101.4984,61.7764,23.1909
101.6508,60.7397,24.0182
101.8032,61.8447,24.0269
101.9556,61.6178,24.131
102.108,61.9207,24.3048
102.2604,62.6122,24.5608
102.4128,62.2991,24.7802
102.5652,61.3081,24.7672
102.7176,62.2485,23.7309
102.87,63.8849,22.1459
103.0224,66.6604,21.5707
103.1748,68.6644,21.042
103.3272,69.6629,27.5934
103.4796,68.649,29.6481
103.632,67.3484,30.48
103.7844,66.1828,30.6233
103.9368,64.4928,25.1734
104.0892,65.9539,24.6065
104.2416,65.6464,22.796
104.394,64.0875,22.3114
104.5464,64.5943,21.4057
104.6988,63.0494,21.5885
104.8512,62.6045,21.3795
105.0036,63.4438,20.9215
105.156,64.0391,23.244
105.3084,64.4169,22.54
105.4608,67.0186,24.8107
105.6132,69.185,25.2567
105.7656,69.1717,26.3732
105.918,69.1042,26.1903
106.0704,68.3203,25.4552
106.2228,65.9651,24.1663
106.3752,65.0898,21.7714
106.5276,66.2439,21.275
106.68,65.9048,24.2795
106.8324,65.4944,27.6789
106.9848,63.2449,29.8643
107.1372,63.7934,31.5285
107.2896,64.9759,30.541
107.442,65.4696,29.2242
107.5944,67.1558,28.4378
107.7468,67.8313,28.0264
107.8992,67.3458,26.5267
108.0516,68.2705,24.2773
108.204,68.9717,23.2432
108.3564,69.2562,22.0588
108.5088,70.0663,21.3604
108.6612,69.422,21.909
108.8136,68.6669,25.4295
108.966,68.1459,29.4244
109.1184,68.2771,28.5659
109.2708,68.0917,28.255
109.4232,67.1514,24.6248
109.5756,66.6704,20.709
109.728,66.8361,22.233
109.8804,67.5237,26.0822
110.0328,68.1868,27.3497
110.1852,69.4113,27.7612
110.3376,70.0797,28.671
110.49,69.0057,24.9083
110.6424,68.6476,22.5327
110.7948,68.5593,22.1559
110.9472,66.928,18.1143
111.0996,67.0956,19.6322
111.252,65.7079,23.8615
111.4044,65.6816,25.4843
111.5568,64.192,26.3073
111.7092,63.838,27.9532
111.8616,64.2444,25.1027
112.014,63.9211,23.8293
112.1664,65.8558,24.7894
112.3188,66.4742,26.1884
112.4712,66.0739,24.654
112.6236,67.2623,26.2215
112.776,67.0698,27.7455
112.9284,67.9214,26.5002
113.0808,70.0865,26.2158
113.2332,69.6707,22.6954
113.3856,69.5634,18.904
113.538,69.8875,14.6497
113.6904,69.3678,14.2358
113.8428,70.3079,13.8315
113.9952,69.3709,13.8989
114.1476,67.5764,16.0164
114.3,66.8115,20.0302
114.4524,66.477,24.4145
114.6048,66.5249,28.4589
114.7572,67.234,29.2017
114.9096,67.4738,27.3915
115.062,67.1394,25.5812
115.2144,70.4722,26.4915
115.3668,71.6405,26.4668
115.5192,72.0588,27.3935
115.6716,73.1404,26.9474
115.824,74.6325,26.0055
115.9764,74.4067,23.8005
116.1288,70.9554,23.7309
116.2812,69.3196,23.8789
116.4336,66.3201,23.7396
116.586,65.3949,27.24
116.7384,65.8002,31.2821
116.8908,65.9772,32.3313
117.0432,65.8152,32.7692
117.1956,65.7969,28.8859
117.348,65.5946,25.2649
117.5004,63.9772,24.9849
117.6528,63.2162,24.9588
117.8052,62.9956,25.3594
117.9576,62.7678,25.8501
118.11,62.5138,27.8435
118.2624,62.2598,29.7546
118.4148,62.1477,33.2933
118.5672,63.7283,36.2102
118.7196,64.8264,33.798
118.872,65.2899,31.0373
119.0244,66.5055,29.017
119.1768,65.5299,27.9806
119.3292,64.2467,31.0713
119.4816,63.2207,36.7878
119.634,62.6118,41.9913
119.7864,62.8594,45.0077
119.9388,61.648,45.027
120.0912,63.6383,43.3934
