DEPT,GR,ROP
73.4568,69.4607,21.127
73.6092,68.9109,21.4231
73.7616,67.4286,22.0501
73.914,67.4861,21.4492
74.0664,68.6825,20.5609
74.2188,70.0553,19.1937
74.3712,70.8571,17.6436
74.5236,72.1899,17.6205
74.676,70.5,17.6527
74.8284,70.6795,19.1222
74.9808,71.0287,20.3911
75.1332,69.1477,21.2141
75.2856,69.4648,21.1574
75.438,69.9261,19.7104
75.5904,69.7414,18.2633
75.7428,70.2576,18.6397
75.8952,70.429,19.2669
76.0476,69.86,21.1467
76.2,69.6551,21.9593
76.3524,69.5053,22.4394
76.5048,69.3127,23.1969
76.6572,69.6873,22.9332
76.8096,70.7837,22.476
76.962,71.6982,22.2565
77.1144,69.4777,22.1559
77.2668,69.3192,23.8418
77.4192,69.0,23.7937
77.5716,68.6342,23.5819
77.724,68.0136,25.5666
77.8764,69.1724,24.2621
78.0288,68.1782,23.4173
78.1812,68.3698,22.5204
78.3336,68.5862,20.7177
78.486,68.3746,17.6784
78.6384,70.0269,17.595
78.7908,72.8147,17.3255
78.9432,75.2474,16.8538
79.0956,73.6508,16.4998
79.248,73.0395,16.2052
79.4004,70.25,16.2859
79.5528,69.4504,16.0886
79.7052,68.707,15.7084
79.8576,68.5787,15.6796
80.01,68.0389,16.0386
80.1624,67.7447,18.5286
80.3148,67.8109,18.2423
80.4672,69.1673,18.2057
80.6196,68.339,17.5931
80.772,69.8,14.6487
80.9244,69.5632,12.1375
81.0768,66.5262,11.7805
81.2292,65.2885,13.6246
81.3816,65.3947,15.7074
81.534,65.1687,17.5931
81.6864,67.3333,20.7386
81.8388,69.0417,21.1135
81.9912,71.2373,21.0586
82.1436,72.3701,21.1684
82.296,73.3756,20.1429
82.4484,71.3034,19.1676
82.6008,69.7474,19.5159
82.7532,67.8634,20.7843
82.9056,67.8824,21.973
83.058,68.7861,21.845
83.2104,70.2816,20.8666
83.3628,70.8788,20.6219
83.5152,71.6426,17.7942
83.6676,69.8,18.5806
83.82,66.5723,20.19
83.9724,65.1111,26.6365
84.1248,65.9483,29.7363
84.2772,66.6933,32.4246
84.4296,68.2197,38.1762
84.582,67.2411,37.6302
84.7344,65.4545,38.6029
84.8868,64.5956,40.1803
85.0392,62.6766,46.4668
85.1916,61.5402,49.9001
85.344,61.7986,50.1765
85.4964,62.0754,49.8566
85.6488,63.3939,40.4687
85.8012,64.7061,30.6977
85.9536,66.1023,21.8237
86.106,67.9964,14.1776
86.2584,70.3105,13.4373
86.4108,72.5,12.5752
86.5632,72.6717,12.7406
86.7156,71.8879,12.1659
86.868,71.0,12.1981
87.0204,70.7883,12.6736
87.1728,72.3893,12.2722
87.3252,72.3394,13.4946
87.4776,70.6667,14.7676
87.63,69.8152,14.8133
87.7824,67.9415,15.5544
87.9348,67.7182,14.6015
88.0872,69.4943,13.9855
88.2396,68.2955,14.3898
88.392,67.7585,13.9759
88.5444,67.331,14.383
88.6968,67.2376,15.3834
88.8492,67.2213,22.2576
89.0016,67.4753,28.5004
89.154,65.3551,31.168
89.3064,64.7273,33.319
89.4588,64.0585,38.2219
89.6112,64.0191,36.097
89.7636,64.3351,35.7574
89.916,62.7827,38.4871
90.0684,61.9033,31.9583
90.2208,62.1073,25.2649
90.3732,63.3963,23.4909
90.5256,65.765,18.6102
90.678,66.5043,15.1268
90.8304,64.8115,16.076
90.9828,63.9055,15.4142
91.1352,64.0,14.134
91.2876,65.161,14.5956
91.44,67.1587,16.4331
91.5924,68.3333,17.4607
91.7448,67.72,19.1937
91.8972,68.9176,20.857
92.0496,71.75,20.021
92.202,71.4286,20.1603
92.3544,71.2098,23.3216
92.5068,70.2827,27.0314
92.6592,69.5556,30.0097
92.8116,67.4851,29.7833
92.964,67.526,25.6032
93.1164,66.7203,25.1369
93.2688,68.0,22.7868
93.4212,70.4656,23.0063
93.5736,70.9256,23.2606
93.726,68.9839,23.1822
93.8784,66.1102,29.8617
94.0308,63.1999,34.1637
94.1832,61.2873,38.8506
94.3356,59.7914,43.3997
94.488,58.3595,38.7515
94.6404,59.4354,32.7355
94.7928,61.0638,31.9655
94.9452,64.2129,30.745
95.0976,66.944,25.3914
95.25,66.759,24.5769
95.4024,66.7211,25.4107
95.5548,68.007,23.3701
95.7072,68.0776,23.0718
95.8596,67.4407,24.592
96.012,68.8352,22.6771
96.1644,68.0572,20.3708
96.3168,68.1073,21.7723
96.4692,69.142,21.2049
96.6216,69.7854,18.544
96.774,68.3832,18.7726
96.9264,69.0646,19.367
97.0788,68.1149,16.5027
97.2312,65.9827,17.4833
97.3836,65.4396,19.5956
97.536,64.9311,17.4559
97.6884,64.5881,19.2847
97.8408,64.9903,21.0747
97.9932,65.1326,19.812
98.1456,64.2167,21.545
98.298,64.6058,18.2532
98.4504,65.1678,14.5341
98.6028,64.8571,15.0165
98.7552,66.1486,15.4703
98.9076,66.3717,18.6741
99.06,66.1896,23.4953
99.2124,65.8928,22.7468
99.3648,65.739,21.9891
99.5172,66.2517,21.5624
99.6696,66.8275,21.4405
99.822,67.1254,21.5624
99.9744,65.6481,20.3432
100.1268,65.4654,19.2459
100.2792,65.8707,18.7234
100.4316,67.629,17.4025
100.584,69.3885,18.1821
100.7364,71.8104,17.5661
100.8888,71.3677,17.903
101.0412,69.5763,18.6363
101.1936,66.9064,19.8817
101.346,65.4153,21.9021
101.4984,61.9359,23.1909
101.6508,60.1773,24.0182
101.8032,61.6061,24.0269
101.9556,60.75,24.131
102.108,60.9438,24.3048
102.2604,61.6207,24.5608
102.4128,60.2857,24.7802
102.5652,59.2454,24.7672
102.7176,59.6803,23.7309
102.87,61.6667,22.1459
103.0224,64.0934,21.5707
103.1748,66.2491,21.042
103.3272,68.1457,27.5934
103.4796,67.0085,29.6481
103.632,64.8944,30.48
103.7844,64.3641,30.6233
103.9368,62.1337,25.1734
104.0892,63.5228,24.6065
104.2416,64.2528,22.796
104.394,62.6075,22.3114
104.5464,62.4,21.4057
104.6988,61.708,21.5885
104.8512,61.6966,21.3795
105.0036,63.161,20.9215
105.156,64.3311,23.244
105.3084,64.2666,22.54
105.4608,67.0371,24.8107
105.6132,70.02,25.2567
105.7656,69.9598,26.3732
105.918,69.3716,26.1903
106.0704,67.0117,25.4552
106.2228,64.6629,24.1663
106.3752,62.2458,21.7714
106.5276,62.9457,21.275
106.68,65.88,24.2795
106.8324,64.6612,27.6789
106.9848,63.2332,29.8643
107.1372,63.613,31.5285
107.2896,63.6486,30.541
107.442,64.7587,29.2242
107.5944,66.0641,28.4378
107.7468,66.4334,28.0264
107.8992,66.998,26.5267
108.0516,68.1069,24.2773
108.204,69.25,23.2432
108.3564,68.75,22.0588
108.5088,70.0532,21.3604
108.6612,69.4454,21.909
108.8136,68.075,25.4295
108.966,67.3291,29.4244
109.1184,68.1333,28.5659
109.2708,68.0512,28.255
109.4232,66.8663,24.6248
109.5756,66.3146,20.709
109.728,65.59,22.233
109.8804,66.8362,26.0822
110.0328,67.9924,27.3497
110.1852,68.9242,27.7612
110.3376,70.125,28.671
110.49,68.429,24.9083
110.6424,67.3195,22.5327
110.7948,67.0292,22.1559
110.9472,64.7253,18.1143
111.0996,65.3541,19.6322
111.252,63.5071,23.8615
111.4044,63.8712,25.4843
111.5568,62.6735,26.3073
111.7092,61.595,27.9532
111.8616,62.6993,25.1027
112.014,62.8159,23.8293
112.1664,65.2399,24.7894
112.3188,66.2116,26.1884
112.4712,66.2619,24.654
112.6236,66.9141,26.2215
112.776,66.3976,27.7455
112.9284,67.615,26.5002
113.0808,71.4552,26.2158
113.2332,70.2121,22.6954
113.3856,69.3707,18.904
113.538,70.9755,14.6497
113.6904,69.7437,14.2358
113.8428,70.2496,13.8315
113.9952,70.8793,13.8989
114.1476,68.0076,16.0164
114.3,66.161,20.0302
114.4524,66.141,24.4145
114.6048,65.222,28.4589
114.7572,65.7198,29.2017
114.9096,66.7664,27.3915
115.062,65.8813,25.5812
115.2144,68.2144,26.4915
115.3668,70.2185,26.4668
115.5192,69.1724,27.3935
115.6716,70.8926,26.9474
115.824,71.8509,26.0055
115.9764,72.0575,23.8005
116.1288,70.8618,23.7309
116.2812,70.5714,23.8789
116.4336,67.6413,23.7396
116.586,65.8764,27.24
116.7384,66.3333,31.2821
116.8908,66.0575,32.3313
117.0432,65.4318,32.7692
117.1956,64.6661,28.8859
117.348,64.8941,25.2649
117.5004,63.0675,24.9849
117.6528,61.7191,24.9588
117.8052,61.6,25.3594
117.9576,60.8694,25.8501
118.11,60.0546,27.8435
118.2624,59.2398,29.7546
118.4148,59.1444,33.2933
118.5672,61.6984,36.2102
118.7196,62.4483,33.798
118.872,64.6667,31.0373
119.0244,65.9034,29.017
119.1768,64.4969,27.9806
119.3292,63.1152,31.0713
119.4816,62.9932,36.7878
119.634,61.5034,41.9913
119.7864,61.7241,45.0077
119.9388,61.0689,45.027
120.0912,62.2795,43.3934
120.2436,63.5267,42.4185
120.396,63.8326,39.4347
120.5484,64.5123,39.0112
120.7008,63.6199,42.8984
120.8532,61.375,43.2729
121.0056,62.0124,40.4348
121.158,62.8571,39.246
121.3104,64.0055,31.5742
121.4628,65.3745,25.9208
121.6152,65.5708,31.003
121.7676,65.2609,32.9665
121.92,65.1429,37.5765
122.0724,64.8595,42.6618
122.2248,64.2757,41.7779
122.3772,65.8622,40.0988
122.5296,66.6207,40.8955
122.682,67.3885,40.0159
122.8344,68.1207,36.8547
122.9868,66.7626,34.5382
123.1392,64.393,33.6412
123.2916,61.7852,42.2888
123.444,62.6926,44.614
123.5964,62.8843,45.7657
123.7488,65.1111,42.1538
123.9012,65.7943,29.7234
124.0536,64.6334,21.3055
124.206,64.2165,19.3844
124.3584,65.161,15.4196
124.5108,65.2105,11.4549
124.6632,65.3145,11.5606
124.8156,65.2976,11.7621
124.968,65.0804,13.0353
125.1204,64.6016,13.8684
125.2728,63.0938,14.9322
125.4252,63.3081,15.1425
125.5776,63.5864,19.6814
125.73,62.87,20.2561
125.8824,64.5455,22.783
126.0348,66.8622,27.817
126.1872,68.1059,23.4953
126.3396,68.4631,25.1123
126.492,65.2647,25.4973
126.6444,63.5745,28.5293
126.7968,59.8227,31.7698
126.9492,56.5484,32.9082
127.1016,56.3698,30.4543
127.254,56.5244,28.3647
127.4064,55.9597,24.6248
127.5588,57.9896,24.0762
127.7112,57.0917,20.8098
127.8636,58.2261,17.3431
128.016,59.9654,20.6587
128.1684,59.7798,23.4279
128.3208,58.9967,32.2158
128.4732,60.2955,41.1741
128.6256,59.4278,44.0392
128.778,58.0478,41.7924
128.9304,58.092,35.8262
129.0828,57.3761,27.1943
129.2352,59.0385,21.3585
129.3876,60.3242,21.2333
129.54,61.6099,23.875
129.6924,63.4927,26.1976
129.8448,63.6297,27.3863
129.9972,62.8219,26.3987
130.1496,62.9828,23.9527
130.302,62.4432,22.1742
130.4544,62.8136,22.8985
130.6068,62.4482,25.5575
130.7592,62.2928,27.1851
130.9116,62.9176,29.8917
131.064,64.0,32.6746
131.2164,63.2088,35.1391
131.3688,60.9337,37.6297
131.5212,59.8326,37.9345
131.6736,60.1896,35.2
131.826,61.6449,31.5337
131.9784,60.9979,28.6512
132.1308,61.4185,26.9879
132.2832,60.6072,27.9197
132.4356,60.3447,28.1113
132.588,61.9541,28.7945
132.7404,62.518,29.1785
132.8928,62.6829,28.0538
133.0452,61.7824,26.673
133.1976,61.1336,25.2273
133.35,60.9969,23.3383
133.5024,61.6679,21.4314
133.6548,62.1517,20.2143
133.8072,62.4329,18.9971
133.9596,62.1255,17.78
134.112,61.931,18.3533
134.2644,63.8965,19.1735
134.4168,64.0,22.3479
134.5692,64.8535,24.6801
134.7216,65.7304,26.4262
134.874,65.134,26.9931
135.0264,65.516,26.9199
135.1788,65.5486,23.9573
135.3312,65.132,23.9486
135.4836,65.446,23.2693
135.636,67.0898,22.7777
135.7884,67.8259,23.1343
135.9408,68.1757,24.3688
136.0932,65.7658,27.0937
136.2456,62.3146,29.8961
136.398,58.6994,33.4478
136.5504,60.5856,35.267
136.7028,61.0349,36.2872
136.8552,62.6016,35.4003
137.0076,63.1892,35.3771
137.16,61.6935,35.5498
137.3124,61.5,35.1231
137.4648,62.4176,34.5338
137.6172,62.5371,32.4155
137.7696,64.2847,29.8704
137.922,65.8648,27.1359
138.0744,64.9195,25.5551
138.2268,64.8,24.4348
138.3792,65.1649,24.2079
138.5316,66.3301,23.9878
138.684,68.8478,24.0589
138.8364,69.5774,23.7287
138.9888,70.1364,23.1584
139.1412,70.4668,22.6365
139.2936,68.7297,21.936
139.446,69.3673,21.3103
139.5984,70.5816,21.0861
139.7508,71.3819,21.3795
139.9032,69.0469,21.6931
140.0556,68.2634,21.8084
140.208,68.7165,21.589
140.3604,68.7824,21.4681
140.5128,69.2934,21.2954
140.6652,69.8999,20.4248
140.8176,68.3102,19.8088
140.97,68.3295,19.1841
141.1224,69.7971,18.8549
141.2748,71.0779,19.0012
141.4272,73.1067,19.4219
141.5796,72.1164,19.6901
141.732,70.0513,19.2634
141.8844,69.7358,19.2982
142.0368,70.0874,19.1831
142.1892,69.4847,19.2138
142.3416,69.0483,18.1508
142.494,68.681,16.6665
142.6464,66.482,18.9708
142.7988,66.0,21.551
142.9512,66.6664,24.0776
143.1036,67.3746,26.097
143.256,66.3653,25.8438
143.4084,68.5621,27.5692
143.5608,68.7657,29.3186
143.7132,67.921,31.5035
143.8656,69.5932,33.1836
144.018,68.7144,32.4338
144.1704,70.4419,32.7355
144.3228,70.9976,33.0752
144.4752,70.8643,34.3174
144.6276,70.4444,34.5277
144.78,70.2519,35.344
144.9324,69.7143,32.2061
145.0848,68.4981,32.5526
145.2372,69.1311,32.8452
145.3896,68.2222,31.7937
145.542,66.5449,32.4743
145.6944,68.9789,32.3423
145.8468,69.0046,31.1762
145.9992,69.1505,30.1848
146.1516,70.0083,30.7142
146.304,68.0234,32.1594
146.4564,67.3647,33.8589
146.6088,68.1242,34.8112
146.7612,68.4225,36.0365
146.9136,71.5329,35.7165
147.066,74.4517,35.817
147.2184,73.4,37.0637
147.3708,72.6747,36.7011
147.5232,72.1059,33.3419
147.6756,72.4631,24.9006
147.828,72.0,20.9194
147.9804,72.9819,18.5623
148.1328,73.0423,17.2923
148.2852,72.4525,18.9687
148.4376,73.0674,19.135
148.59,72.3555,18.6189
148.7424,70.4,18.2988
148.8948,70.4444,18.4171
149.0472,69.7516,19.0733
149.1996,69.7679,19.3422
149.352,70.1514,19.431
149.5044,69.2996,19.4036
149.6568,69.0517,19.3954
