DEPT,CGXT,SMTU,GRGC,NPRL,CLDC,DCOR,DEN,PDPE,DT35,DSLL,DDLL,SPDL,MRRS,HVOL,AVOL,NPOR,NPRS,NPRD,DPOR,DPRL,DPRS,DPRD,BIT
2345.3,51.531887,3461.914063,110.941521,0.306424,8.676101,0.03923,2.480443,3.448474,91.099823,5.328835,5.17653,90.769257,4.015817,0.134676,0.046994,0.291619,0.368003,0.278593,0.134244,0.134244,0.102762,0.208319,8.5
2345.4,51.456867,3466.796875,110.164383,0.312129,8.674668,0.030801,2.473579,3.467841,90.838997,5.371043,5.190436,90.88472,4.052117,0.134616,0.046934,0.297024,0.373203,0.283828,0.138258,0.138258,0.106922,0.21199,8.5
2345.5,51.413383,3457.03125,111.139069,0.314489,8.672222,0.024742,2.469994,3.464904,90.552925,5.413284,5.206146,90.924232,4.0842,0.134532,0.04685,0.299249,0.375358,0.285993,0.140354,0.140354,0.109094,0.213907,8.5
2345.6,51.446228,3466.796875,113.025322,0.314326,8.669259,0.021939,2.47042,3.468479,90.264244,5.447932,5.223886,90.948532,4.104417,0.134442,0.04676,0.299072,0.37519,0.285843,0.140105,0.140105,0.108836,0.213679,8.5
2345.7,51.513943,3466.796875,115.019653,0.310293,8.666436,0.022298,2.47427,3.45518,90.031326,5.472688,5.241074,91.103516,4.124793,0.134351,0.04667,0.295212,0.371494,0.282142,0.137854,0.137854,0.106503,0.21162,8.5
2345.8,51.488045,3486.328125,116.284561,0.304591,8.663413,0.024407,2.478742,3.434167,89.856743,5.489944,5.257136,91.188591,4.135241,0.134244,0.046563,0.289764,0.36628,0.27691,0.135239,0.135239,0.103793,0.209229,8.5
2345.9,51.403549,3491.210938,117.371109,0.299531,8.659541,0.026447,2.480867,3.41492,89.77813,5.497709,5.272188,91.185562,4.142807,0.134112,0.046431,0.284925,0.361678,0.272267,0.133996,0.133996,0.102505,0.208093,8.5
2346.0,51.539516,3491.210938,116.871071,0.297225,8.654874,0.026425,2.477057,3.429281,89.788986,5.494704,5.284803,91.118698,4.144325,0.133974,0.046293,0.282699,0.359574,0.270151,0.136224,0.136224,0.104814,0.21013,8.5
2346.1,51.370316,3481.445313,116.337189,0.298604,8.650632,0.026037,2.472625,3.440835,89.889183,5.482273,5.288964,91.124779,4.149052,0.133851,0.046169,0.28397,0.360868,0.271417,0.138816,0.138816,0.1075,0.2125,8.5
2346.2,51.506523,3476.5625,116.688507,0.299695,8.646889,0.025694,2.468742,3.450025,90.041954,5.459725,5.278687,91.097435,4.12984,0.133742,0.04606,0.284972,0.361887,0.272417,0.141087,0.141087,0.109853,0.214577,8.5
2346.3,51.542377,3481.445313,119.091827,0.300045,8.64359,0.027352,2.470545,3.440041,90.251297,5.426596,5.253574,91.091354,4.060781,0.133643,0.045962,0.285281,0.362217,0.272739,0.140032,0.140032,0.108761,0.213613,8.5
2346.4,51.487419,3481.445313,120.730988,0.298211,8.640535,0.029379,2.473155,3.417963,90.493324,5.388011,5.214141,91.033623,3.959799,0.133619,0.045937,0.283538,0.360515,0.271056,0.138506,0.138506,0.107179,0.212216,8.5
2346.5,51.518326,3481.445313,122.164299,0.29832,8.642018,0.032609,2.477648,3.375484,90.772949,5.352172,5.164379,91.070084,3.856699,0.133786,0.046105,0.283669,0.360599,0.271156,0.135879,0.135879,0.104456,0.209814,8.5
2346.6,51.526699,3481.445313,122.213303,0.301538,8.651357,0.035999,2.481109,3.344801,91.027802,5.323779,5.113219,91.112625,3.792027,0.134144,0.046462,0.286783,0.363503,0.27411,0.133854,0.133854,0.102358,0.207963,8.5
2346.7,51.559307,3481.445313,122.292313,0.308077,8.665099,0.039409,2.484817,3.322266,91.244392,5.305251,5.072841,91.191635,3.778538,0.134535,0.046853,0.293068,0.36945,0.28011,0.131686,0.131686,0.100111,0.20598,8.5
2346.8,51.510098,3461.914063,120.25708,0.31542,8.676594,0.040739,2.485479,3.315495,91.358398,5.29938,5.053514,91.334457,3.824184,0.134785,0.047103,0.300116,0.376148,0.286848,0.131299,0.131299,0.09971,0.205626,8.5
2346.9,51.420059,3461.914063,119.83947,0.319696,8.681182,0.041976,2.489404,3.315831,91.398712,5.30636,5.055749,91.440804,3.89894,0.13487,0.047189,0.304232,0.380066,0.290772,0.129003,0.129003,0.097331,0.203527,8.5
2347.0,51.436123,3466.796875,120.850311,0.319743,8.682114,0.041869,2.493032,3.332594,91.325905,5.319774,5.072193,91.595779,3.958822,0.13488,0.047199,0.304295,0.380111,0.290814,0.126882,0.126882,0.095132,0.201587,8.5
2347.1,51.457912,3461.914063,124.300278,0.315328,8.681808,0.041202,2.49731,3.366699,91.214684,5.333148,5.097142,91.689987,3.937103,0.134777,0.047095,0.300076,0.376098,0.286763,0.12438,0.12438,0.092539,0.199299,8.5
2347.2,51.569054,3466.796875,125.237312,0.309973,8.675443,0.039639,2.499606,3.386096,91.070885,5.344776,5.124372,91.607933,3.840158,0.13445,0.046768,0.294933,0.371245,0.281849,0.123037,0.123037,0.091148,0.198072,8.5
2347.3,51.40942,3442.382813,125.200508,0.305076,8.660757,0.037444,2.498747,3.42258,90.976349,5.351681,5.143398,91.626167,3.69124,0.133988,0.046306,0.290186,0.366815,0.277355,0.12354,0.12354,0.091668,0.198531,8.5
2347.4,51.527744,3447.265625,124.072685,0.302383,8.645638,0.034952,2.494267,3.454982,90.923203,5.350528,5.150989,91.629196,3.518859,0.133619,0.045937,0.287485,0.364361,0.274884,0.126159,0.126159,0.094383,0.200926,8.5
2347.5,51.371777,3466.796875,123.448517,0.301124,8.636893,0.032907,2.488151,3.508104,90.946602,5.342639,5.150126,91.601852,3.324767,0.133121,0.04544,0.28607,0.363207,0.273729,0.129736,0.129736,0.098091,0.204198,8.5
