DEPT,CGXT,SMTU,GRGC,NPRL,CLDC,DCOR,DEN,PDPE,DT35,SPDL,MRRS,HP01,HP02,HDP3,HDPT,HDP4,HDP5,HDP6,HVOL,AVOL,BIT
111.7,30.19883,693.359375,56.892457,0.439884,8.737395,-0.718995,1.753093,14.22601,48.768417,231.081318,0.142636,98746.34859,98746.34859,98746.34859,98746.34859,98746.34859,98746.34859,98746.34859,0.136612,0.048931,12.25
111.8,29.986794,693.366817,56.20862,0.4371,8.737671,-0.723144,1.742735,14.012214,48.551671,230.993317,0.142575,99825.167565,99825.167565,99825.167565,99825.167565,99825.167565,99825.167565,99825.167565,0.136621,0.04894,12.25
111.9,30.221837,698.242188,55.067114,0.420932,8.737966,-0.726913,1.734368,13.957604,48.615159,230.993181,0.142846,101316.006701,101316.006701,101316.006701,101316.006701,101316.006701,101316.006701,101316.006701,0.136629,0.048947,12.25
112.0,30.224993,698.23462,54.704529,0.397679,8.738137,-0.728246,1.732115,14.009145,48.680159,230.905078,0.142985,100825.462791,100825.462791,100825.462791,100825.462791,100825.462791,100825.462791,100825.462791,0.136631,0.048949,12.25
112.1,30.206828,693.359375,54.918724,0.36941,8.738124,-0.726393,1.735669,14.229739,48.743164,230.838276,0.143146,99158.938974,99158.938974,99158.938974,99158.938974,99158.938974,99158.938974,99158.938974,0.136631,0.048949,12.25
112.2,30.121763,693.359375,55.062803,0.349593,8.738109,-0.720942,1.745792,14.407856,48.779898,230.801952,0.143168,97999.13405,97999.13405,97999.13405,97999.13405,97999.13405,97999.13405,97999.13405,0.136631,0.048949,12.25
112.3,30.074767,693.374903,56.909656,0.333496,8.738142,-0.714244,1.75737,14.589792,48.776299,230.847516,0.143054,99290.771086,99290.771086,99290.771086,99290.771086,99290.771086,99290.771086,99290.771086,0.136632,0.04895,12.25
112.4,30.200035,703.125,58.271287,0.325544,8.738183,-0.711016,1.759826,14.653808,48.748078,230.884132,0.142802,102032.0223,102032.0223,102032.0223,102032.0223,102032.0223,102032.0223,102032.0223,0.136633,0.048952,12.25
112.5,30.304509,703.125,59.059637,0.32175,8.738214,-0.711323,1.755971,14.52835,48.988974,231.002574,0.14252,102327.674562,102327.674562,102327.674562,102327.674562,102327.674562,102327.674562,102327.674562,0.136633,0.048952,12.25
112.6,30.155377,703.11703,57.263814,0.327984,8.7382,-0.71404,1.748992,14.376891,49.523789,231.08474,0.142479,99140.472674,99140.472674,99140.472674,99140.472674,99140.472674,99140.472674,99140.472674,0.136633,0.048951,12.25
112.7,30.159993,698.242188,56.748836,0.346787,8.73819,-0.716157,1.744184,14.241599,50.351552,231.248901,0.142386,97783.203417,97783.203417,97783.203417,97783.203417,97783.203417,97783.203417,97783.203417,0.136633,0.048951,12.25
112.8,30.054197,698.2503,55.459447,0.384738,8.738195,-0.716048,1.743254,14.196717,51.195234,231.452411,0.142241,99152.534206,99152.534206,99152.534206,99152.534206,99152.534206,99152.534206,99152.534206,0.136633,0.048951,12.25
112.9,30.224792,703.116814,54.87888,0.424733,8.738185,-0.712276,1.749706,14.106218,52.040557,231.592377,0.141827,102187.395763,102187.395763,102187.395763,102187.395763,102187.395763,102187.395763,102187.395763,0.136633,0.048951,12.25
113.0,30.158828,698.250448,53.940914,0.457425,8.738183,-0.704979,1.762515,14.143059,52.588057,231.838531,0.141556,102502.727961,102502.727961,102502.727961,102502.727961,102502.727961,102502.727961,102502.727961,0.136632,0.048951,12.25
113.1,30.230405,703.125,53.895613,0.466937,8.738165,-0.696543,1.775957,14.150805,52.834536,232.099888,0.141238,100088.689377,100088.689377,100088.689377,100088.689377,100088.689377,100088.689377,100088.689377,0.136632,0.04895,12.25
113.2,30.101332,703.125,53.689971,0.459276,8.738159,-0.689846,1.786533,14.171921,52.798432,232.379569,0.14112,97960.819474,97960.819474,97960.819474,97960.819474,97960.819474,97960.819474,97960.819474,0.136632,0.04895,12.25
113.3,30.049844,703.125,52.61994,0.429565,8.738143,-0.686386,1.79364,14.103044,53.055606,232.720155,0.140899,97946.118378,97946.118378,97946.118378,97946.118378,97946.118378,97946.118378,97946.118378,0.136631,0.04895,12.25
