DEPT,BS,CALI,GR,RESS,RESM,RESD,DENS,NEUT,PEF,DTC
53.645,12.25,,32.6,,,,,,,
53.797,12.25,,32.451,,,,,,,
53.95,12.25,,35.213,,,,,,,
54.102,12.25,,34.291,,,,,,,
54.254,12.25,,33.693,,,,,,,
54.407,12.25,,31.968,,,,,,,
54.559,12.25,,31.814,,,,,,,
54.712,12.25,,30.754,,,,,,,
54.864,12.25,,32.748,,,,,,,
55.016,12.25,,33.061,,,,,,,
55.169,12.25,,35.351,,,,,,,
55.321,12.25,,36.563,,,,,,,
55.474,12.25,,36.409,,,,,,,
55.626,12.25,,34.906,,,,,,,
55.778,12.25,,32.292,,,,,,,
55.931,12.25,,31.21,,,,,,,
56.083,12.25,,28.597,,,,,,,
56.236,12.25,,28.601,,,,,,,
56.388,12.25,,29.234,,,,,,,
56.54,12.25,,32.622,,,,,,,
56.693,12.25,,32.007,,,,,,,
56.845,12.25,,31.836,,,,,,,
56.998,12.25,,32.462,,,,,,,
57.15,12.25,,31.984,,,,,,,
57.302,12.25,,31.221,,,,,,,
57.455,12.25,,28.768,,,,,,,
57.607,12.25,,31.084,,,,,,,
57.76,12.25,,32.457,,,,,,,
57.912,12.25,,35.361,,,,,,,
58.064,12.25,,35.982,,,,,,,
58.217,12.25,,35.964,,,,,,,
58.369,12.25,,36.845,,,,,,,
58.522,12.25,,33.06,,,,,,,
58.674,12.25,,33.985,,,,,,,
58.826,12.25,,30.84,,,,,,,
58.979,12.25,,31.693,,,,,,,
59.131,12.25,,30.908,,,,,,,
59.284,12.25,,34.001,,,,,,,
59.436,12.25,,34.598,,,,,,,
59.588,12.25,,34.598,,,,,,,
59.741,12.25,,31.968,,,,,,,
59.893,12.25,,33.454,,,,,,,
60.046,12.25,,31.3,,,,,,,
60.198,12.25,,32.821,,,,,,,
60.35,12.25,,33.385,,,,,,,
60.503,12.25,,38.135,,,,,,,
60.655,12.25,,39.212,,,,,,,
60.808,12.25,,39.232,,,,,,,
60.96,12.25,,37.367,,,,,,,
61.112,12.25,,36.155,,,,,,,
61.265,12.25,,36.924,,,,,,,
61.417,12.25,,35.693,,,,,,,
61.57,12.25,,36.463,,,,,,,
61.722,12.25,,37.059,,,,,,,
61.874,12.25,,39.827,,,,,,,
62.027,12.25,,37.828,,,,,,,
62.179,12.25,,38.116,,,,,,,
62.332,12.25,,36.118,,,,,,,
62.484,12.25,,37.808,,,,,,,
62.636,12.25,,35.503,,,,,,,
62.789,12.25,,36.905,,,,,,,
62.941,12.25,,37.981,,,,,,,
63.094,12.25,,39.038,,,,,,,
63.246,12.25,,39.673,,,,,,,
63.398,12.25,,36.308,,,,,,,
63.551,12.25,,35.847,,,,,,,
63.703,12.25,,35.539,,,,,,,
63.856,12.25,,38.289,,,,,,,
64.008,12.25,,36.136,,,,,,,
64.16,12.25,,34.411,,,,,,,
64.313,12.25,,30.841,,,,,,,
64.465,12.25,,31.148,,,,,,,
64.618,12.25,,30.738,,,,,,,
64.77,12.25,,35.042,,,,,,,
64.922,12.25,,35.657,,,,,,,
