DEPT,CALI,BS,GR,SP,DSO8,RSO8,RLA1,RLA2,RLA3,RLA4,RLA5,RT,DT,HDRA,PEF8,RHO8,TNPH,RXO8,TENS
968.6544,8.01795,8.5,116.5549,-73.49167,-0.00403,0.00754,8.75378,13.93002,16.32027,17.60402,19.37724,25.75872,106.35069,-0.00124,3.00246,2.30799,0.37476,1.47066,1925.07158
968.8068,8.03329,8.5,103.7498,-73.525,-0.00211,0.01339,8.2335,12.8358,14.8834,16.09361,17.65735,23.39936,106.17287,-0.00158,2.89809,2.29878,0.40036,1.44427,1950.73329
968.9592,8.06397,8.5,111.7995,-73.55,0.0086,0.01765,8.47666,13.4661,15.71311,17.00299,18.64208,24.80265,106.2819,-0.00212,2.88961,2.31606,0.42832,1.51132,1912.80016
969.1116,8.08698,8.5,109.1552,-73.58334,-0.00805,0.02562,8.8332,13.94703,16.4332,17.71755,19.45928,25.90792,106.01322,-0.00358,2.82868,2.31193,0.41654,1.60317,1942.86678
969.264,8.133,8.5,116.6173,-73.52917,-0.00319,0.02507,8.63827,13.43333,15.79236,16.9502,18.63091,24.73651,105.81592,-0.00338,2.82267,2.29664,0.44899,1.49706,1950.06673
969.4164,8.133,8.5,115.9273,-73.575,0.04005,0.02256,9.15306,14.51935,17.13002,18.43587,20.23812,26.97516,105.81809,-0.00352,2.81777,2.30578,0.44497,1.5568,1948.06683
969.5688,8.2097,8.5,113.1936,-73.5,0.00152,0.02111,9.33704,14.5369,17.03392,18.30566,20.05424,26.66055,105.40911,-0.00077,2.79668,2.32182,0.41465,1.57452,1968.20005
969.7212,8.46664,8.5,116.5356,-73.64584,-0.00362,0.04364,9.64764,15.13631,17.89625,19.2438,21.08081,28.11383,104.44085,0.00152,2.88554,2.30139,0.40213,1.58198,1938.86675
969.8736,8.58552,8.5,103.7545,-73.80859,0.04232,0.0661,9.54864,14.57493,17.07686,18.32265,20.08645,26.63518,104.97589,0.00591,2.93521,2.31035,0.39446,1.58136,1939.73317
970.026,8.50115,8.5,105.8401,-74.05357,0.06219,0.05736,9.35664,13.77207,16.03748,17.17776,18.84098,24.82417,105.28578,0.00562,2.76278,2.2942,0.38359,1.53995,1952.43757
970.1784,8.45513,8.5,114.0307,-74.20834,-0.02048,0.02318,9.94176,14.81614,17.28889,18.5784,20.46665,27.0014,105.5053,0.00324,2.87684,2.29351,0.38788,1.62083,1982.9999
970.3308,8.45513,8.5,104.9358,-74.39584,-0.00308,0.06619,9.87201,14.44933,16.6273,17.85524,19.72178,25.80086,105.6018,-0.00182,2.8835,2.29788,0.39978,1.5125,1933.06668
970.4832,8.54717,8.5,103.938,-74.62917,0.00894,0.03574,9.83531,14.6249,16.78988,18.03832,19.9489,26.1277,105.72844,-0.00424,2.79117,2.32335,0.38464,1.59408,1935.53351
970.6356,8.58169,8.5,109.0125,-75.18333,-0.00627,0.01403,9.73208,14.623,16.75999,18.00848,19.95387,26.15224,105.81681,-0.0044,2.82522,2.31656,0.36337,1.61726,1954.39993
970.788,8.59319,8.5,101.6765,-75.1625,0.03457,0.01539,10.00466,14.84766,17.1382,18.42731,20.43407,26.79708,105.87493,-0.00205,2.89126,2.32224,0.37539,1.59163,1908.26688
970.9404,8.65072,8.5,108.269,-74.72916,-0.01374,0.01235,10.11573,15.15924,17.61492,18.941,21.03633,27.6693,104.84193,-0.00063,2.8073,2.31112,0.36737,1.45833,1924.93332
971.0928,8.63921,8.5,105.7506,-74.525,-0.00099,0.00597,10.1488,15.24188,17.9507,19.32478,21.5663,28.49324,104.70657,-0.00154,2.78083,2.32314,0.3775,1.34556,1935.6666
971.2452,8.63921,8.5,100.8149,-74.52917,-0.00201,0.01598,10.50759,15.37808,17.9606,19.37991,21.57477,28.36563,104.86327,-0.00211,2.7234,2.29648,0.34069,1.30263,1956.06689
971.3976,8.6162,8.5,109.5221,-74.57083,0.04482,0.03553,11.58293,17.89424,21.0393,22.72624,25.3874,33.56278,104.81718,-0.00106,2.7217,2.28718,0.35171,1.41198,1964.00017
971.55,8.6047,8.5,107.0054,-74.57083,0.00932,0.01106,10.37535,15.23712,17.65694,19.01103,21.22412,27.81424,105.29898,-3e-05,2.74331,2.31588,0.3913,1.56091,1904.66679
971.7024,8.57785,8.5,108.2909,-74.62917,0.02575,0.03005,9.95074,14.16278,16.23653,17.43391,19.46904,25.30389,105.09708,-0.00039,2.77043,2.30422,0.4362,1.4426,1901.40009
971.8548,8.50115,8.5,107.7681,-74.51667,-6e-05,0.01742,10.82619,15.97928,18.47954,19.92894,22.34452,29.24247,106.23386,-0.00083,2.93516,2.31089,0.46215,1.62575,1973.06671
972.0072,8.50115,8.5,97.95529,-74.925,-0.014,0.00409,9.8984,14.40991,16.52228,17.81459,20.00222,26.07731,106.73532,8e-05,2.90823,2.28428,0.40698,1.40814,1954.1333
972.1596,8.42446,8.5,106.1975,-75.53333,0.00625,0.01447,9.92305,14.61522,16.8535,18.1941,20.48101,26.75778,106.722,0.00058,2.92332,2.29544,0.39021,1.36249,1920.66667
972.312,8.34009,8.5,103.729,-75.775,0.01232,0.00824,9.63808,13.90966,15.91573,17.10921,19.32552,25.08493,106.84517,-0.00176,2.85632,2.31977,0.38711,1.49582,1942.06668
972.4644,8.34009,8.5,113.9422,-75.86607,-0.00375,0.01414,9.50681,13.84567,15.94658,17.07735,19.28422,25.06945,106.29446,-0.00449,2.75351,2.31527,0.39512,1.50646,1942.86678
972.6168,8.36309,8.5,110.451,-76.08203,0.06131,0.0001,9.22249,13.65331,15.78772,16.84879,18.96024,24.72261,105.68748,-0.00573,3.01177,2.31365,0.38667,1.602,1921.33345
972.7692,8.47815,8.5,110.6401,-76.02917,0.01597,0.0001,9.46777,13.95448,16.14693,17.23678,19.24534,25.14507,106.18775,-0.00319,2.92009,2.32558,0.39571,1.51417,1981.92868
972.9216,8.57018,8.5,104.7427,-76.10714,-0.00019,0.03066,10.17176,15.63479,18.17943,19.62002,21.77863,28.71161,106.12548,-0.00049,2.91887,2.34848,0.40129,1.53123,1913.74997
973.074,8.57018,8.5,116.341,-76.17917,0.00625,0.02979,9.61261,14.26747,16.40752,17.74568,19.55437,25.69016,106.09311,-0.00028,2.94191,2.322,0.43498,1.41372,1940.49999
973.2264,8.53567,8.5,108.685,-76.24167,-0.01404,0.01855,9.50204,14.24021,16.64218,18.12847,19.87965,26.36043,106.77702,-0.00084,2.80682,2.29946,0.44418,1.47949,1963.73332
973.3788,8.53567,8.5,100.6426,-76.1625,-0.01069,0.02483,9.14195,13.40363,15.7003,17.11546,18.65798,24.7611,106.9976,-0.00168,2.77833,2.28194,0.45679,1.46706,1950.53321
