DEPT,BS,CALI,GR,RESS,RESM,RESD,DENS,NEUT,PEF,DTC
79.248,,,,,,,,,,
79.4,12.25,,,,,,,,,
79.553,12.25,,,,,,,,,
79.705,12.25,,,,,,,,,
79.858,12.25,,,,,,,,,
80.01,12.25,,,,,,,,,
80.162,12.25,,,,,,,,,
80.315,12.25,,,,,,,,,
80.467,12.25,,,,,,,,,
80.62,12.25,,,,,,,,,
80.772,12.25,,,,,,,,,
80.924,12.25,,,,,,,,,
81.077,12.25,,,,,,,,,
81.229,12.25,,,,,,,,,
81.382,12.25,,,,,,,,,
81.534,12.25,,,,,,,,,
81.686,12.25,,,,,,,,,
81.839,12.25,,,,,,,,,
81.991,12.25,,,,,,,,,
82.144,12.25,,,,,,,,,
82.296,12.25,,,,,,,,,
82.448,12.25,,,,,,,,,
82.601,12.25,,,,,,,,,
82.753,12.25,,,,,,,,,
82.906,12.25,,,,,,,,,
83.058,12.25,,35.002,,,,,,,
83.21,12.25,,37.58,,,,,,,
83.363,12.25,,37.168,,,,,,,
83.515,12.25,,38.922,,,,,,,
83.668,12.25,,32.748,,,,,,,
83.82,12.25,,34.479,,,,,,,
83.972,12.25,,35.348,,,,,,,
84.125,12.25,,36.752,,,,,,,
84.277,12.25,,35.479,,,,,,,
84.43,12.25,,34.27,,,,,,,
84.582,12.25,,34.793,,,,,,,
84.734,12.25,,36.622,,,,,,,
84.887,12.25,,35.054,,,,,,,
85.039,12.25,,39.759,,,,,,,
85.192,12.25,,35.022,,,,,,,
85.344,12.25,,38.485,,,,,,,
85.496,12.25,,37.178,,,,,,,
85.649,12.25,,40.771,,,,,,,
85.801,12.25,,42.013,,,,,,,
85.954,12.25,,41.948,,,,,,,
86.106,12.25,,40.706,,,,,,,
86.258,12.25,,37.047,,,,,,,
86.411,12.25,,36.59,,,,,,,
86.563,12.25,,39.465,,,,,,,
86.716,12.25,,43.254,,,,,,,
86.868,12.25,,42.993,,,,,,,
87.02,12.25,,41.425,,,,,,,
87.173,12.25,,38.91,,,,,,,
87.325,12.25,,38.387,,,,,,,
87.478,12.25,,38.909,,,,,,,
87.63,12.25,,37.08,,,,,,,
87.782,12.25,,36.296,,,,,,,
87.935,12.25,,33.421,,,,,,,
88.087,12.25,,33.421,,,,,,,
88.24,12.25,,34.466,,,,,,,
88.392,12.25,,34.989,,,,,,,
88.544,12.25,,36.59,,,,,,,
88.697,12.25,,36.067,,,,,,,
88.849,12.25,,39.889,,,,,,,
89.002,12.25,,42.503,,,,,,,
89.154,12.25,,45.116,,,,,,,
89.306,12.25,,41.229,,,,,,,
89.459,12.25,,41.228,,,,,,,
89.611,12.25,,38.615,,,,,,,
89.764,12.25,,36.786,,,,,,,
89.916,12.25,,34.172,,,,,,,
90.068,12.25,,35.446,,,,,,,
90.221,12.25,,35.25,,,,,,,
90.373,12.25,,33.159,,,,,,,
90.526,12.25,,30.873,,,,,,,
90.678,12.25,,33.748,,,,,,,
90.83,12.25,,35.054,,,,,,,
90.983,12.25,,35.283,,,,,,,
91.135,12.25,,32.931,,,,,,,
91.288,12.25,,31.199,,,,,,,
91.44,12.25,,33.29,,,,,,,
91.592,12.25,,35.381,,,,,,,
91.745,12.25,,36.753,,,,,,,
91.897,12.25,,34.662,,,,,,,
92.05,12.25,,35.708,,,,,,,
92.202,12.25,,36.622,,,,,,,
92.354,12.25,,40.804,,,,,,,
92.507,12.25,,40.543,,,,,,,
92.659,12.25,,39.399,,,,,,,
92.812,12.25,,35.74,,,,,,,
92.964,12.25,,32.31,,,,,,,
93.116,12.25,,32.375,,,,,,,
93.269,12.25,,34.466,,,,,,,
93.421,12.25,,37.211,,,,,,,
93.574,12.25,,36.426,,,,,,,
93.726,12.25,,39.563,,,,,,,
93.878,12.25,,40.02,,,,,,,
94.031,12.25,,43.156,,,,,,,
94.183,12.25,,39.922,,,,,,,
94.336,12.25,,39.889,,,,,,,
94.488,12.25,,40.935,,,,,,,
94.64,12.25,,38.419,,,,,,,
94.793,12.25,,35.283,,,,,,,
94.945,12.25,,33.192,,,,,,,
95.098,12.25,,37.766,,,,,,,
95.25,12.25,,39.857,,,,,,,
95.402,12.25,,38.942,,,,,,,
95.555,12.25,,39.595,,,,,,,
95.707,12.25,,41.948,,,,,,,
95.86,12.25,,43.091,,,,,,,
96.012,12.25,,39.954,,,,,,,
96.164,12.25,,38.68,,,,,,,
96.317,12.25,,35.839,,,,,,,
96.469,12.25,,35.316,,,,,,,
96.622,12.25,,35.544,,,,,,,
96.774,12.25,,36.851,,,,,,,
96.926,12.25,,38.027,,,,,,,
97.079,12.25,,38.027,,,,,,,
97.231,12.25,,38.289,,,,,,,
97.384,12.25,,38.517,,,,,,,
97.536,12.25,,38.256,,,,,,,
97.688,12.25,,36.426,,,,,,,
97.841,12.25,,35.054,,,,,,,
97.993,12.25,,33.748,,,,,,,
98.146,12.25,,34.336,,,,,,,
98.298,12.25,,35.61,,,,,,,
98.45,12.25,,36.263,,,,,,,
98.603,12.25,,36.459,,,,,,,
98.755,12.25,,36.557,,,,,,,
98.908,12.25,,40.608,,,,,,,
99.06,12.25,,42.176,,,,,,,
99.212,12.25,,40.347,,,,,,,
99.365,12.25,,39.824,,,,,,,
99.517,12.25,,39.301,,,,,,,
99.67,12.25,,40.445,,,,,,,
99.822,12.25,,36.263,,,,,,,
99.974,12.25,,37.537,,,,,,,
100.127,12.25,,36.818,,,,,,,
100.279,12.25,,38.125,,,,,,,
100.432,12.25,,38.811,,,,,,,
100.584,12.25,,39.857,,,,,,,
100.736,12.25,,37.831,,,,,,,
100.889,12.25,,35.61,,,,,,,
101.041,12.25,,29.86,,,,,,,
101.194,12.25,,31.918,,,,,,,
101.346,12.25,,35.577,,,,,,,
101.498,12.25,,41.0,,,,,,,
101.651,12.25,,37.57,,,,,,,
101.803,12.25,,35.479,,,,,,,
101.956,12.25,,32.277,,,,,,,
102.108,12.25,,36.459,,,,,,,
102.26,12.25,,34.368,,,,,,,
102.413,12.25,,33.225,,,,,,,
102.565,12.25,,30.611,,,,,,,
102.718,12.25,,31.754,,,,,,,
102.87,12.25,,33.813,,,,,,,
103.022,12.25,,37.21,,,,,,,
103.175,12.25,,34.695,,,,,,,
103.327,12.25,,34.695,,,,,,,
103.48,12.25,,32.702,,,,,,,
103.632,12.25,,36.165,,,,,,,
103.784,12.25,,33.551,,,,,,,
103.937,12.25,,36.296,,,,,,,
104.089,12.25,,35.251,,,,,,,
104.242,12.25,,36.492,,,,,,,
104.394,12.25,,34.172,,,,,,,
104.546,12.25,,34.27,,,,,,,
104.699,12.25,,36.688,,,,,,,
104.851,12.25,,39.236,,,,,,,
105.004,12.25,,41.228,,,,,,,
105.156,12.25,,41.49,,,,,,,
105.308,12.25,,39.432,,,,,,,
105.461,12.25,,40.216,,,,,,,
105.613,12.25,,40.51,,,,,,,
105.766,12.25,,43.418,,,,,,,
105.918,12.25,,46.815,,,,,,,
106.07,12.25,,47.73,,,,,,,
106.223,12.25,,47.73,,,,,,,
106.375,12.25,,43.025,,,,,,,
106.528,12.25,,44.169,,,,,,,
106.68,12.25,,41.033,,,,,,,
106.832,12.25,,44.594,,,,,,,
106.985,12.25,,48.514,,,,,,,
