DEPT,TENS:1,TENS:2,DT_BHC,RLA5,RLA3,RSOZ,TNPH:1,CALI,BS,RLA4,RHOZ,PEFZ,RXO,GR:1,DTSM,RT,RLA1,NPHI,TNPH:2,GR:2,GR:3,DTCO,RLA2,RLA0,GR:4,RXOZ
797.966,2504.266,2467.501,115.75,29.071,14.999,0.026,0.379,8.632,8.5,21.453,2.27,2.934,1.604,98.138,,41.813,3.938,0.35,0.379,98.694,100.759,115.75,8.269,0.105,98.45,1.269
798.119,2532.866,2514.0,117.416,29.008,14.886,0.031,0.36,8.592,8.5,21.447,2.265,2.937,1.653,100.605,,42.122,3.989,0.354,0.36,99.732,100.665,117.416,8.136,0.105,95.727,1.238
798.271,2536.625,2549.5,118.25,28.633,14.522,0.031,0.364,8.56,8.5,21.133,2.262,2.904,1.672,103.338,,41.754,3.967,0.335,0.365,103.146,97.32,118.25,8.016,0.106,104.6,1.215
798.424,2543.333,2532.333,119.25,27.613,13.823,0.025,0.341,8.536,8.5,20.377,2.252,2.845,1.627,87.805,,40.267,3.827,0.344,0.343,106.863,95.831,119.25,7.784,0.107,108.262,1.181
798.576,2549.133,2545.334,117.5,27.871,13.689,0.018,0.347,8.52,8.5,20.444,2.261,2.839,1.608,95.779,,40.69,3.769,0.339,0.35,107.588,92.338,117.5,7.712,0.109,106.975,1.216
798.728,2530.468,2559.333,115.75,29.89,14.505,0.024,0.334,8.504,8.5,21.588,2.272,2.872,1.663,93.366,,43.389,3.91,0.36,0.336,109.121,97.802,115.75,8.159,0.112,106.781,1.253
798.881,2488.066,2482.333,115.75,30.269,14.657,0.031,0.357,8.472,8.5,21.648,2.286,2.928,1.655,103.96,,43.749,3.904,0.352,0.358,112.61,97.921,115.75,8.206,0.112,113.06,1.282
799.033,2530.0,2549.5,118.416,30.288,14.694,0.034,0.35,8.48,8.5,21.473,2.285,2.941,1.673,96.562,,43.631,3.931,0.337,0.351,113.971,98.003,118.416,8.252,0.112,117.523,1.249
799.186,2510.866,2532.5,117.584,29.385,14.358,0.028,0.334,8.472,8.5,20.817,2.276,2.933,1.646,92.611,,42.255,3.862,0.32,0.336,110.612,97.855,117.584,8.082,0.111,111.0,1.257
799.338,2509.733,2516.001,117.416,28.573,14.094,0.018,0.322,8.488,8.5,20.243,2.267,2.906,1.691,104.218,,41.293,3.903,0.325,0.321,104.741,98.926,117.416,7.929,0.11,102.828,1.258
799.49,2546.0,2587.499,118.5,27.737,13.823,0.01,0.326,8.512,8.5,19.744,2.263,2.889,1.643,99.498,,39.977,3.819,0.325,0.324,101.928,100.893,118.5,7.787,0.11,99.231,1.282
799.643,2520.866,2532.333,117.5,27.267,13.663,0.0,0.321,8.52,8.5,19.527,2.27,2.868,1.654,99.042,,39.334,3.829,0.323,0.319,103.898,95.446,117.5,7.775,0.109,103.029,1.278
799.795,2504.201,2508.668,118.416,27.229,13.631,0.0,0.323,8.56,8.5,19.511,2.285,2.862,1.644,87.373,,39.286,3.811,0.311,0.321,104.904,89.473,118.416,7.75,0.108,109.829,1.314
799.948,2511.93,2522.999,116.5,28.164,14.103,0.0,0.309,8.572,8.5,20.196,2.292,2.858,1.661,82.079,,40.588,3.886,0.323,0.308,109.063,86.768,116.5,7.963,0.108,102.279,1.325
800.1,2526.733,2518.0,117.5,28.301,14.151,0.0,0.321,8.584,8.5,20.306,2.292,2.86,1.621,91.118,,40.713,3.831,0.338,0.321,108.205,85.692,117.5,7.936,0.108,115.723,1.301
800.252,2522.334,2522.001,117.5,28.63,14.254,0.0,0.334,8.608,8.5,20.596,2.283,2.841,1.612,84.032,,41.288,3.826,0.345,0.336,107.158,89.675,117.5,7.92,0.106,106.272,1.279
800.405,2516.428,2521.001,118.25,28.632,14.233,0.016,0.351,8.592,8.5,20.645,2.282,2.828,1.594,93.072,,41.309,3.795,0.343,0.352,102.862,88.429,118.25,7.899,0.105,100.05,1.275
800.557,2532.934,2505.5,119.25,28.305,14.108,0.026,0.359,8.584,8.5,20.614,2.277,2.827,1.597,87.219,,41.014,3.796,0.33,0.359,99.403,88.584,119.25,7.852,0.104,103.244,1.259
800.71,2565.562,2563.501,119.166,28.196,14.022,0.013,0.338,8.608,8.5,20.659,2.276,2.85,1.574,84.405,,41.017,3.757,0.341,0.337,102.03,88.532,119.166,7.729,0.103,97.193,1.253
800.862,2564.868,2567.999,118.334,27.633,13.785,0.0,0.346,8.6,8.5,20.432,2.28,2.865,1.535,92.301,,40.225,3.686,0.335,0.344,98.797,89.972,118.334,7.619,0.102,106.115,1.224
801.014,2495.932,2465.001,118.25,26.259,13.424,0.0,0.339,8.632,8.5,19.612,2.287,2.864,1.544,91.387,,38.23,3.687,0.331,0.337,101.217,89.723,118.25,7.506,0.102,93.446,1.24
801.167,2513.501,2491.0,117.5,26.115,13.564,0.002,0.33,8.656,8.5,19.595,2.289,2.85,1.567,84.753,,37.969,3.752,0.319,0.328,102.119,89.007,117.5,7.601,0.101,104.227,1.252
801.319,2561.5,2565.0,118.416,26.105,13.742,0.0,0.327,8.68,8.5,19.677,2.28,2.843,1.536,90.556,,37.837,3.74,0.319,0.325,105.087,89.047,118.416,7.628,0.1,110.503,1.28
